player,key,status,skin_frac,cheek_r,cheek_g,cheek_b,cheek_lum,crown_r,crown_g,crown_b,crown_lum,mous_delta,chin_delta,jaw_delta,hair_above
Junius Coston,junius coston,no face,0.0,,,,,,,,,,,,
Jerricho Cotchery,jerricho cotchery,no face,0.0,,,,,,,,,,,,
Brad Cottam,brad cottam,no face,0.0,,,,,,,,,,,,
Jeff Cotton,jeff cotton,ok,0.116,207,134,109,153.0,4,3,1,3.1,130.3,63.5,141.8,0.35
Lester Cotton,lester cotton,ok,0.091,115,73,66,84.8,19,16,20,17.4,-3.1,67.9,48.0,0.722
Nathan Cottrell,nathan cottrell,ok,0.188,224,175,150,186.7,161,118,94,128.1,110.2,159.7,160.8,0.04
Carter Coughlin,carter coughlin,ok,0.155,221,157,132,173.3,25,14,11,16.9,47.5,87.8,113.3,0.168
Isaiah Coulter,isaiah coulter,ok,0.154,138,88,75,101.5,31,26,25,27.4,8.1,83.9,71.8,0.426
Blake Countess,blake countess,ok,0.185,144,92,74,105.5,51,40,36,42.8,-6.0,64.0,71.6,0.287
Terry Cousin,terry cousin,no face,0.0,,,,,,,,,,,,
Kirk Cousins,kirk cousins,ok,0.126,128,101,98,108.6,68,57,56,60.2,-41.4,13.7,31.0,0.031
Oniel Cousins,oniel cousins,no face,0.0,,,,,,,,,,,,
Keke Coutee,keke coutee,ok,0.154,196,139,107,152.4,25,24,23,24.2,116.4,91.6,112.2,0.226
Brandon Coutu,brandon coutu,no face,0.0,,,,,,,,,,,,
Christian Covington,christian covington,ok,0.115,156,105,86,118.0,23,23,23,23.0,2.9,48.3,42.2,0.509
Chris Covington,chris covington,ok,0.167,186,106,65,125.2,11,11,9,10.8,68.7,50.7,72.8,0.749
Rashaad Coward,rashaad coward,ok,0.115,155,98,68,111.7,38,41,36,39.5,25.1,94.4,93.7,0.357
Byron Cowart,byron cowart,ok,0.118,180,133,108,144.2,37,27,20,29.2,19.5,126.3,122.9,0.052
Sam Cowart,sam cowart,no face,0.0,,,,,,,,,,,,
Jacob Cowing,jacob cowing,ok,0.14,184,107,71,125.8,14,11,10,11.8,1.8,48.8,39.6,0.792
James Cowser,james cowser,ok,0.174,206,153,135,166.8,73,58,49,61.5,-6.5,-17.0,40.2,0.107
Bryan Cox,bryan cox,no face,0.0,,,,,,,,,,,,
Chandler Cox,chandler cox,ok,0.165,201,130,112,149.2,49,30,20,34.5,-28.5,20.7,-14.3,0.089
Curome Cox,curome cox,no face,0.0,,,,,,,,,,,,
Demetrious Cox,demetrious cox,ok,0.209,216,156,116,169.5,47,39,35,40.9,60.1,54.2,65.4,0.34
Derek Cox,derek cox,no face,0.0,,,,,,,,,,,,
Fletcher Cox,fletcher cox,ok,0.127,192,117,92,136.6,52,51,47,50.8,58.2,98.8,100.7,0.129
Jabril Cox,jabril cox,ok,0.127,165,110,84,123.8,2,2,2,2.0,91.7,88.9,115.5,0.472
Kennard Cox,kennard cox,no face,0.0,,,,,,,,,,,,
Mike Cox,mike cox,no face,0.0,,,,,,,,,,,,
Michael Cox,michael cox,no face,0.0,,,,,,,,,,,,
Morgan Cox,morgan cox,ok,0.155,204,134,110,152.2,127,95,78,102.6,53.4,103.6,109.1,0.02
Perrish Cox,perrish cox,no face,0.0,,,,,,,,,,,,
Torrie Cox,torrie cox,no face,0.0,,,,,,,,,,,,
Brock Coyle,brock coyle,ok,0.197,151,108,90,118.8,61,51,44,53.2,-45.2,27.6,10.2,0.118
Tyler Coyle,tyler coyle,ok,0.125,149,103,78,113.9,22,21,21,21.3,75.4,-4.9,65.9,1.0
Shawn Crable,shawn crable,no face,0.0,,,,,,,,,,,,
Michael Crabtree,michael crabtree,ok,0.128,190,123,88,138.9,23,21,18,21.3,78.7,60.2,79.2,1.0
Tom Crabtree,tom crabtree,no face,0.0,,,,,,,,,,,,
River Cracraft,river cracraft,ok,0.136,140,100,88,110.6,143,133,131,135.8,-44.7,-46.6,-47.6,0.064
Jason Craft,jason craft,no face,0.0,,,,,,,,,,,,
Angelo Craig,angelo craig,no face,0.0,,,,,,,,,,,,
Casey Cramer,casey cramer,no face,0.0,,,,,,,,,,,,
Su'a Cravens,sua cravens,ok,0.202,229,162,127,178.0,28,26,24,26.4,8.9,32.3,50.4,0.587
Jack Crawford,jack crawford,ok,0.191,201,130,95,147.2,173,108,80,124.2,4.0,54.7,68.6,0.072
Kitan Crawford,kitan crawford,ok,0.131,188,132,110,146.2,50,40,37,42.6,40.5,127.5,110.2,0.4
Richard Crawford,richard crawford,no face,0.0,,,,,,,,,,,,
Tyrone Crawford,tyrone crawford,ok,0.171,225,163,129,177.7,31,22,17,24.1,24.6,45.6,56.7,0.153
Xavier Crawford,xavier crawford,ok,0.19,218,152,120,168.1,66,59,55,60.6,32.7,139.6,135.4,0.316
Ken Crawley,ken crawley,ok,0.143,95,56,36,65.4,14,13,12,13.2,41.6,52.4,57.4,0.447
Jeremy Crawshaw,jeremy crawshaw,ok,0.174,208,157,151,171.6,94,86,77,87.8,10.0,32.3,12.0,0.103
Patrick Crayton,patrick crayton,no face,0.0,,,,,,,,,,,,
Gabe Crecion,gabe crecion,no face,0.0,,,,,,,,,,,,
Josh Cribbs,josh cribbs,no face,0.0,,,,,,,,,,,,
Scott Crichton,scott crichton,no face,0.0,,,,,,,,,,,,
Jared Crick,jared crick,no face,0.0,,,,,,,,,,,,
Juron Criner,juron criner,no face,0.0,,,,,,,,,,,,
Chris Crocker,chris crocker,no face,0.0,,,,,,,,,,,,
Damarea Crockett,damarea crockett,ok,0.143,169,113,84,126.4,31,26,24,27.3,-14.8,69.8,62.0,0.549
Zack Crockett,zack crockett,no face,0.0,,,,,,,,,,,,
Antonio Cromartie,antonio cromartie,no face,0.0,,,,,,,,,,,,
Marcus Cromartie,marcus cromartie,ok,0.146,150,93,66,107.0,53,43,38,45.4,5.5,81.3,55.2,0.169
Da'Mon Cromartie-Smith,damon cromartie smith,no face,0.0,,,,,,,,,,,,
Jonathan Crompton,jonathan crompton,no face,0.0,,,,,,,,,,,,
Jason Croom,jason croom,ok,0.167,157,102,92,117.3,8,8,8,8.0,74.3,39.1,53.9,0.522
Larry Croom,larry croom,no face,0.0,,,,,,,,,,,,
Mason Crosby,mason crosby,ok,0.174,140,100,78,109.3,48,41,32,42.1,-17.4,-17.8,7.0,0.123
Maxx Crosby,maxx crosby,ok,0.066,126,82,68,93.6,27,28,34,28.4,-62.5,-8.1,63.5,0.913
Tyrell Crosby,tyrell crosby,ok,0.133,196,125,91,142.4,116,62,38,75.5,21.0,107.5,101.4,0.024
Jacory Croskey-Merritt,jacory croskey merritt,ok,0.137,161,98,73,114.0,20,20,22,20.2,72.9,-13.8,16.8,0.595
Charles Cross,charles cross,ok,0.112,163,118,101,129.8,26,23,20,23.6,115.7,51.1,54.6,0.236
Nick Cross,nick cross,ok,0.135,197,128,99,145.3,17,16,17,16.4,26.5,59.0,58.0,0.459
Alan Cross,alan cross,ok,0.291,55,41,36,44.6,134,120,116,124.2,,,,0.0
Keion Crossen,keion crossen,ok,0.123,85,65,64,70.9,46,42,50,44.1,11.0,-6.4,-6.6,0.958
Cole Croston,cole croston,ok,0.205,215,157,140,172.4,65,51,38,53.7,-2.7,88.1,76.6,0.083
Tae Crowder,tae crowder,ok,0.202,200,127,92,144.8,24,23,19,22.8,107.2,60.4,58.6,0.645
Jamison Crowder,jamison crowder,ok,0.109,141,97,74,107.5,102,80,62,84.5,71.2,80.5,81.2,0.007
Channing Crowder,channing crowder,no face,0.0,,,,,,,,,,,,
Tim Crowder,tim crowder,no face,0.0,,,,,,,,,,,,
Angelo Crowell,angelo crowell,no face,0.0,,,,,,,,,,,,
Isaiah Crowell,isaiah crowell,ok,0.117,86,57,48,64.7,31,31,29,30.8,25.2,6.6,10.5,0.988
Brodie Croyle,brodie croyle,no face,0.0,,,,,,,,,,,,
Dane Cruikshank,dane cruikshank,ok,0.151,201,151,127,163.2,37,30,28,31.9,12.7,97.0,64.3,0.556
Jaden Crumedy,jaden crumedy,ok,0.104,138,74,55,90.8,9,9,9,9.0,44.3,-3.0,25.0,0.752
Alge Crumpler,alge crumpler,no face,0.0,,,,,,,,,,,,
Victor Cruz,victor cruz,no face,0.0,,,,,,,,,,,,
Jermelle Cudjo,jermelle cudjo,no face,0.0,,,,,,,,,,,,
Quinton Culberson,quinton culberson,no face,0.0,,,,,,,,,,,,
Johnny Culbreath,johnny culbreath,no face,0.0,,,,,,,,,,,,
Sean Culkin,sean culkin,ok,0.158,238,186,166,199.3,82,65,55,68.9,50.8,156.4,131.4,0.029
Chris Culliver,chris culliver,no face,0.0,,,,,,,,,,,,
Devin Culp,devin culp,ok,0.081,117,82,72,91.3,10,9,12,9.6,80.8,44.1,71.8,1.0
Daunte Culpepper,daunte culpepper,no face,0.0,,,,,,,,,,,,
Tyrone Culver,tyrone culver,no face,0.0,,,,,,,,,,,,
Jeff Cumberland,jeff cumberland,no face,0.0,,,,,,,,,,,,
Kenwin Cummings,kenwin cummings,no face,0.0,,,,,,,,,,,,
Billy Cundiff,billy cundiff,no face,0.0,,,,,,,,,,,,
Benny Cunningham,benny cunningham,ok,0.164,200,123,84,141.6,21,16,13,17.2,80.9,21.9,57.4,0.514
B.J. Cunningham,bj cunningham,no face,0.0,,,,,,,,,,,,
Jermaine Cunningham,jermaine cunningham,no face,0.0,,,,,,,,,,,,
Jerome Cunningham,jerome cunningham,ok,0.151,191,130,89,143.6,37,35,34,35.5,60.4,118.7,88.5,0.562
Justice Cunningham,justice cunningham,no face,0.0,,,,,,,,,,,,
Korey Cunningham,korey cunningham,ok,0.125,152,85,66,102.9,42,35,34,37.0,19.7,80.7,79.0,0.236
Zach Cunningham,zach cunningham,ok,0.095,146,92,53,103.7,20,16,14,17.0,91.6,96.5,94.5,0.474
Jake Curhan,jake curhan,ok,0.154,192,145,130,157.3,43,30,30,33.9,78.2,133.9,134.7,0.152
Rennie Curran,rennie curran,no face,0.0,,,,,,,,,,,,
Airese Currie,airese currie,no face,0.0,,,,,,,,,,,,
Justin Currie,justin currie,ok,0.173,187,140,122,152.3,63,46,36,50.2,-29.1,56.3,50.7,0.189
Aaron Curry,aaron curry,no face,0.0,,,,,,,,,,,,
Clarence Curry,clarence curry,no face,0.0,,,,,,,,,,,,
Dominique Curry,dominique curry,no face,0.0,,,,,,,,,,,,
Donte Curry,donte curry,no face,0.0,,,,,,,,,,,,
Ronald Curry,ronald curry,no face,0.0,,,,,,,,,,,,
Vinny Curry,vinny curry,ok,0.116,108,58,43,71.2,9,23,22,18.7,57.3,59.1,58.3,0.677
Tony Curtis,tony curtis,no face,0.0,,,,,,,,,,,,
Kevin Curtis,kevin curtis,no face,0.0,,,,,,,,,,,,
Lloyd Cushenberry III,lloyd cushenberry,ok,0.042,77,46,43,54.9,13,13,14,13.1,29.5,-30.0,7.0,0.435
Brian Cushing,brian cushing,no face,0.0,,,,,,,,,,,,
Matt Cushing,matt cushing,no face,0.0,,,,,,,,,,,,
Jay Cutler,jay cutler,no face,0.0,,,,,,,,,,,,
Jacob Cutrera,jacob cutrera,no face,0.0,,,,,,,,,,,,
Austin Cutting,austin cutting,ok,0.191,137,102,85,110.5,70,56,45,58.9,-20.7,-2.2,2.8,0.073
Johnathan Cyprien,johnathan cyprien,ok,0.167,155,85,56,102.6,23,20,17,20.6,50.9,5.3,37.7,0.52
Ryan D'Imperio,ryan dimperio,no face,0.0,,,,,,,,,,,,
Dominique Dafney,dominique dafney,ok,0.12,147,93,63,105.7,10,9,6,9.0,75.3,97.3,98.7,0.586
Craig Dahl,craig dahl,no face,0.0,,,,,,,,,,,,
Harvey Dahl,harvey dahl,no face,0.0,,,,,,,,,,,,
Joe Dahl,joe dahl,ok,0.169,198,141,122,155.9,119,108,103,110.7,77.6,49.1,83.7,0.06
Dennis Daley,dennis daley,ok,0.097,120,80,68,90.3,22,22,22,22.0,-18.9,69.8,14.4,0.809
DeeJay Dallas,deejay dallas,ok,0.11,148,98,83,111.2,18,16,20,17.1,3.7,97.3,85.3,0.93
Drew Dalman,drew dalman,ok,0.148,219,153,143,171.6,37,25,21,28.1,22.7,104.4,114.0,0.312
Andy Dalton,andy dalton,ok,0.177,201,150,136,163.7,68,41,25,47.2,-1.9,16.4,3.5,0.049
Lional Dalton,lional dalton,no face,0.0,,,,,,,,,,,,
Scott Daly,scott daly,ok,0.139,223,176,169,189.3,52,44,43,46.3,-0.1,48.9,32.5,0.246
Jordan Dangerfield,jordan dangerfield,ok,0.153,254,184,146,200.6,42,40,36,40.0,53.1,76.8,35.4,0.445
Robertson Daniel,robertson daniel,no face,0.0,,,,,,,,,,,,
Chase Daniel,chase daniel,ok,0.148,179,130,108,142.1,99,71,61,78.2,-16.3,58.9,81.7,0.029
Braeden Daniels,braeden daniels,ok,0.111,106,71,66,80.7,14,12,17,13.2,-8.2,32.9,21.5,0.971
B.J. Daniels,bj daniels,no face,0.0,,,,,,,,,,,,
Darrell Daniels,darrell daniels,ok,0.182,160,100,75,115.1,23,20,18,20.7,57.0,100.0,100.7,0.452
James Daniels,james daniels,ok,0.109,104,70,63,79.4,81,57,54,63.8,-5.0,18.3,34.3,0.051
Jayden Daniels,jayden daniels,ok,0.138,197,133,104,148.8,23,22,23,22.4,2.9,31.9,63.2,0.576
LeShun Daniels,leshun daniels,no face,0.0,,,,,,,,,,,,
Matt Daniels,matt daniels,no face,0.0,,,,,,,,,,,,
Mike Daniels,mike daniels,ok,0.181,193,122,86,139.2,29,25,22,25.9,104.2,12.1,36.2,0.181
Owen Daniels,owen daniels,no face,0.0,,,,,,,,,,,,
Phillip Daniels,phillip daniels,no face,0.0,,,,,,,,,,,,
P.J. Daniels,pj daniels,no face,0.0,,,,,,,,,,,,
Stanley Daniels,stanley daniels,no face,0.0,,,,,,,,,,,,
Steven Daniels,steven daniels,no face,0.0,,,,,,,,,,,,
Torrance Daniels,torrance daniels,no face,0.0,,,,,,,,,,,,
Travis Daniels,travis daniels,no face,0.0,,,,,,,,,,,,
Michael Danna,michael danna,ok,0.08,154,90,74,107.5,20,20,22,20.2,63.5,88.6,86.3,0.599
Karlos Dansby,karlos dansby,no face,0.0,,,,,,,,,,,,
Cameron Dantzler,cameron dantzler,ok,0.208,209,133,88,150.6,28,19,15,21.2,16.9,110.2,95.6,0.236
Amara Darboh,amara darboh,ok,0.131,183,122,89,136.5,21,24,22,22.9,43.5,113.2,83.4,1.0
Chartric Darby,chartric darby,no face,0.0,,,,,,,,,,,,
Frank Darby,frank darby,ok,0.113,98,63,57,72.8,16,16,17,16.1,18.2,55.2,40.9,0.892
Kenneth Darby,kenneth darby,no face,0.0,,,,,,,,,,,,
Ronald Darby,ronald darby,ok,0.1,163,125,101,133.6,22,20,26,21.3,24.3,104.9,68.1,0.378
Jaelon Darden,jaelon darden,ok,0.131,139,98,85,108.8,23,22,24,22.5,85.5,7.0,15.0,0.982
Marcell Dareus,marcell dareus,ok,0.143,134,76,50,90.0,18,14,13,15.1,75.8,-30.5,10.4,0.415
Trey Darilek,trey darilek,no face,0.0,,,,,,,,,,,,
Donovin Darius,donovin darius,no face,0.0,,,,,,,,,,,,
Orleans Darkwa,orleans darkwa,no face,0.0,,,,,,,,,,,,
Devard Darling,devard darling,no face,0.0,,,,,,,,,,,,
James Darling,james darling,no face,0.0,,,,,,,,,,,,
Sam Darnold,sam darnold,ok,0.179,190,145,124,156.1,51,37,27,40.0,-8.6,83.5,46.5,0.096
Matt Darr,matt darr,ok,0.191,196,142,129,156.8,95,72,58,77.3,9.8,85.1,92.1,0.092
Christian Darrisaw,christian darrisaw,ok,0.128,157,103,77,116.2,11,10,8,10.1,106.1,15.4,58.1,0.726
Jaxson Dart,jaxson dart,ok,0.152,189,130,116,145.8,117,104,101,107.5,-11.9,10.7,35.4,0.053
Doug Datish,doug datish,no face,0.0,,,,,,,,,,,,
Andrew Datko,andrew datko,no face,0.0,,,,,,,,,,,,
Julie'n Davenport,julien davenport,ok,0.107,159,121,103,130.3,39,37,38,37.7,49.1,109.8,109.9,0.395
Marcus Davenport,marcus davenport,ok,0.106,216,156,127,170.6,19,19,19,19.0,100.6,91.1,113.0,0.607
Najeh Davenport,najeh davenport,no face,0.0,,,,,,,,,,,,
Rohan Davey,rohan davey,no face,0.0,,,,,,,,,,,,
Jason David,jason david,no face,0.0,,,,,,,,,,,,
Lavonte David,lavonte david,ok,0.14,122,84,68,93.5,28,26,26,26.6,71.9,12.7,4.6,0.203
DJ Davidson,dj davidson,ok,0.132,225,177,148,188.0,17,13,10,13.9,165.4,45.6,41.4,0.645
Marlon Davidson,marlon davidson,ok,0.102,71,40,28,47.9,7,7,7,7.0,-22.6,24.1,28.8,0.988
Zach Davidson,zach davidson,ok,0.127,196,128,117,147.1,49,35,30,38.6,18.3,85.6,75.1,0.097
A.J. Davis,aj davis,no face,0.0,,,,,,,,,,,,
Andra Davis,andra davis,no face,0.0,,,,,,,,,,,,
Andre Davis,andre davis,no face,0.0,,,,,,,,,,,,
Drew Davis,drew davis,no face,0.0,,,,,,,,,,,,
Anthony Davis,anthony davis,no face,0.0,,,,,,,,,,,,
Ashtyn Davis,ashtyn davis,ok,0.166,160,116,108,127.9,170,168,165,168.3,-26.5,-2.1,9.2,0.11
Austin Davis,austin davis,ok,0.166,168,110,94,125.5,37,26,20,28.6,-28.2,-1.1,11.6,0.192
Britt Davis,britt davis,no face,0.0,,,,,,,,,,,,
Bruce Davis,bruce davis,no face,0.0,,,,,,,,,,,,
Carey Davis,carey davis,no face,0.0,,,,,,,,,,,,
Carl Davis,carl davis,ok,0.097,147,102,80,112.9,29,26,24,26.7,76.8,92.9,92.0,0.423
Carlos Davis,carlos davis,ok,0.103,199,156,147,167.8,34,33,34,33.4,68.7,160.4,129.8,0.725
Carlton Davis III,carlton davis,ok,0.106,182,113,82,130.2,105,71,51,78.9,94.3,108.6,108.0,0.001
Charles Davis,charles davis,no face,0.0,,,,,,,,,,,,
Chauncey Davis,chauncey davis,no face,0.0,,,,,,,,,,,,
Chris Davis,chris davis,no face,0.0,,,,,,,,,,,,
Cody Davis,cody davis,ok,0.141,170,132,120,142.0,46,38,35,40.0,-20.5,28.7,13.2,0.087
Corey Davis,corey davis,ok,0.131,84,52,39,60.1,14,13,11,13.1,47.2,10.1,33.2,0.799
Craig Davis,craig davis,no face,0.0,,,,,,,,,,,,
Davion Davis,davion davis,ok,0.107,152,84,45,100.0,17,14,16,15.1,51.8,47.4,63.8,1.0
Demario Davis,demario davis,ok,0.052,73,47,42,54.2,21,22,22,21.7,35.4,-4.7,7.9,0.991
Derius Davis,derius davis,ok,0.127,149,88,72,104.4,36,26,28,29.2,8.6,86.8,68.6,0.302
Deshaun Davis,deshaun davis,ok,0.195,155,97,72,111.5,39,34,28,34.8,-11.3,71.5,57.7,0.28
Dexter Davis,dexter davis,no face,0.0,,,,,,,,,,,,
Dominique Davis,dominique davis,no face,0.0,,,,,,,,,,,,
Don Davis,don davis,no face,0.0,,,,,,,,,,,,
C.J. Davis,cj davis,no face,0.0,,,,,,,,,,,,
Fred Davis,fred davis,ok,0.094,189,131,104,145.3,32,31,32,31.4,-14.2,29.6,-25.1,1.0
Gabe Davis,gabe davis,ok,0.095,109,83,70,89.3,28,27,33,28.0,-52.5,-64.3,-40.8,0.954
Geremy Davis,geremy davis,ok,0.122,96,53,32,63.5,37,29,26,31.0,-14.4,15.3,-39.6,0.372
Hall Davis,hall davis,no face,0.0,,,,,,,,,,,,
Isaiah Davis,isaiah davis,ok,0.115,167,131,113,139.7,28,21,18,22.8,18.0,17.8,11.6,0.405
Ja'Gared Davis,jagared davis,no face,0.0,,,,,,,,,,,,
Jaden Davis,jaden davis,ok,0.131,144,84,72,100.5,17,13,15,14.4,31.8,35.8,40.5,0.629
Jalen Davis,jalen davis,ok,0.125,213,143,115,160.7,21,19,19,19.6,120.4,57.2,77.8,0.257
James Davis,james davis,no face,0.0,,,,,,,,,,,,
Buster Davis,buster davis,no face,0.0,,,,,,,,,,,,
Jamin Davis,jamin davis,ok,0.088,114,92,79,97.2,24,24,23,23.9,68.1,40.2,45.6,0.97
Jarrad Davis,jarrad davis,ok,0.128,156,87,64,105.0,82,55,48,62.3,-19.5,79.0,60.2,0.022
Jason Davis,jason davis,no face,0.0,,,,,,,,,,,,
Javaris Davis,javaris davis,ok,0.138,136,100,87,109.3,10,11,10,10.6,87.9,51.9,42.2,0.797
Jerome Davis,jerome davis,no face,0.0,,,,,,,,,,,,
Jesse Davis,jesse davis,ok,0.174,189,152,141,161.8,66,49,41,53.3,54.9,128.9,120.2,0.073
Jordan Davis,jordan davis,ok,0.094,121,76,68,88.5,19,17,19,17.8,64.4,15.8,25.4,1.0
Justin Davis,justin davis,ok,0.139,154,102,86,116.0,18,16,16,16.6,86.9,21.3,30.5,1.0
Kalia Davis,kalia davis,ok,0.115,140,86,59,99.1,24,22,20,22.4,82.3,-11.8,25.7,0.453
Kanorris Davis,kanorris davis,no face,0.0,,,,,,,,,,,,
Keith Davis,keith davis,no face,0.0,,,,,,,,,,,,
Kellen Davis,kellen davis,no face,0.0,,,,,,,,,,,,
Khalil Davis,khalil davis,ok,0.122,116,73,59,84.3,13,11,12,11.7,58.0,16.2,47.3,0.335
Knile Davis,knile davis,no face,0.0,,,,,,,,,,,,
Leonard Davis,leonard davis,no face,0.0,,,,,,,,,,,,
Mike Davis,mike davis,no face,0.0,,,,,,,,,,,,
Michael Davis,michael davis,no face,0.0,,,,,,,,,,,,
Nate Davis,nate davis,no face,0.0,,,,,,,,,,,,
Raekwon Davis,raekwon davis,ok,0.111,172,108,83,124.4,50,37,36,40.9,112.8,53.8,39.6,0.046
Rashied Davis,rashied davis,no face,0.0,,,,,,,,,,,,
Ray Davis,ray davis,ok,0.095,173,113,98,129.2,20,18,16,18.4,79.5,107.6,103.7,0.193
Rob Davis,rob davis,no face,0.0,,,,,,,,,,,,
Robert Davis,robert davis,ok,0.196,197,124,79,140.7,23,14,9,16.1,50.4,10.8,62.7,0.371
Rod Davis,rod davis,no face,0.0,,,,,,,,,,,,
Russell Davis,russell davis,no face,0.0,,,,,,,,,,,,
Ryan Davis,ryan davis,no face,0.0,,,,,,,,,,,,
Sammy Davis,sammy davis,no face,0.0,,,,,,,,,,,,
Sean Davis,sean davis,ok,0.199,175,122,97,135.0,29,28,28,28.3,84.9,21.1,49.9,0.319
Shawn Davis,shawn davis,ok,0.093,86,61,48,67.0,8,8,6,7.8,6.0,12.0,31.5,1.0
Stephen Davis,stephen davis,no face,0.0,,,,,,,,,,,,
Thomas Davis,thomas davis,ok,0.159,144,87,69,102.0,24,19,16,20.2,46.8,53.6,41.4,0.513
Todd Davis,todd davis,ok,0.103,99,58,45,68.8,27,23,26,24.5,0.5,-10.9,-3.4,1.0
Trevor Davis,trevor davis,ok,0.182,234,163,131,180.4,9,4,4,5.5,66.2,-12.7,17.2,0.888
Troy Davis,troy davis,no face,0.0,,,,,,,,,,,,
Tyler Davis,tyler davis,ok,0.136,235,192,165,201.5,40,35,31,36.0,30.7,85.7,73.3,0.352
Vernon Davis,vernon davis,ok,0.162,98,60,44,69.5,58,42,36,46.1,-28.2,16.0,39.4,0.082
Vontae Davis,vontae davis,ok,0.155,143,90,63,102.8,57,42,29,45.0,10.7,83.0,47.0,0.031
Will Davis,will davis,no face,0.0,,,,,,,,,,,,
Wyatt Davis,wyatt davis,ok,0.117,172,102,78,120.3,44,34,36,37.2,-6.6,96.9,96.8,0.55
Akeem Davis-Gaither,akeem davis gaither,ok,0.115,116,71,54,82.5,20,15,15,16.5,6.3,69.8,31.3,0.39
Tyrion Davis-Price,tyrion davis price,ok,0.1,180,114,87,130.5,20,18,17,18.6,19.4,115.9,116.3,0.586
Tyeler Davison,tyeler davison,ok,0.188,234,180,145,192.2,28,24,23,25.1,40.2,76.3,118.9,0.482
Brian Dawkins,brian dawkins,no face,0.057,,,,,,,,,,,,
Dion Dawkins,dion dawkins,ok,0.114,221,156,142,173.8,43,37,40,39.1,105.9,77.6,97.9,0.219
Everett Dawkins,everett dawkins,no face,0.0,,,,,,,,,,,,
Noah Dawkins,noah dawkins,ok,0.161,184,102,60,121.7,16,14,11,14.4,50.2,112.3,110.3,0.428
Clifton Dawson,clifton dawson,no face,0.0,,,,,,,,,,,,
Duke Dawson,duke dawson,ok,0.146,159,110,84,121.7,41,38,36,38.7,83.0,56.5,64.5,0.237
Keyunta Dawson,keyunta dawson,no face,0.0,,,,,,,,,,,,
Paul Dawson,paul dawson,no face,0.0,,,,,,,,,,,,
Phil Dawson,phil dawson,ok,0.235,149,100,78,112.1,69,51,44,55.6,-32.8,-48.4,-37.2,0.032
Skye Dawson,skye dawson,no face,0.0,,,,,,,,,,,,
Sheldon Day,sheldon day,ok,0.116,176,110,86,127.0,26,29,28,28.0,99.5,65.5,99.8,0.607
Ron Dayne,ron dayne,no face,0.0,,,,,,,,,,,,
Brian De La Puente,brian de la puente,no face,0.0,,,,,,,,,,,,
Clay DeBord,clay debord,no face,0.0,,,,,,,,,,,,
David DeCastro,david decastro,ok,0.137,230,157,140,176.9,28,21,20,23.0,82.0,48.1,114.6,0.658
Dom DeCicco,dom decicco,no face,0.0,,,,,,,,,,,,
Thomas DeCoud,thomas decoud,no face,0.0,,,,,,,,,,,,
Chris DeGeare,chris degeare,no face,0.0,,,,,,,,,,,,
Cooper DeJean,cooper dejean,ok,0.171,173,132,123,143.2,170,166,163,166.9,-33.5,-14.8,-9.5,0.044
Jerry DeLoach,jerry deloach,no face,0.0,,,,,,,,,,,,
Ben DeLuca,ben deluca,ok,0.158,238,182,162,196.5,44,35,35,37.7,25.0,-8.8,-1.0,0.692
Enoch DeMar,enoch demar,no face,0.0,,,,,,,,,,,,
Rick DeMulling,rick demulling,no face,0.0,,,,,,,,,,,,
Zak DeOssie,zak deossie,ok,0.174,233,169,149,185.9,43,30,26,33.4,-1.7,88.6,81.2,0.215
Andrew DePaola,andrew depaola,ok,0.157,187,135,124,149.4,122,89,80,97.8,38.5,39.2,79.6,0.035
Seth DeValve,seth devalve,ok,0.185,213,160,142,173.8,60,47,42,50.2,2.3,102.3,65.6,0.146
Kyle DeVan,kyle devan,no face,0.0,,,,,,,,,,,,
Mike DeVito,mike devito,no face,0.0,,,,,,,,,,,,
Jared DeVries,jared devries,no face,0.0,,,,,,,,,,,,
Divine Deablo,divine deablo,ok,0.113,101,67,56,75.9,18,15,14,15.9,43.1,32.4,59.4,0.611
Brandon Deaderick,brandon deaderick,no face,0.0,,,,,,,,,,,,
David Dean,david dean,no face,0.0,,,,,,,,,,,,
Jamel Dean,jamel dean,ok,0.124,188,128,115,144.5,77,72,75,73.8,71.6,83.8,66.5,0.186
Larry Dean,larry dean,no face,0.0,,,,,,,,,,,,
Nakobe Dean,nakobe dean,ok,0.108,118,82,75,92.3,15,14,17,14.6,76.4,23.2,12.5,0.714
James Dearth,james dearth,no face,0.0,,,,,,,,,,,,
Dawson Deaton,dawson deaton,ok,0.172,232,171,155,187.4,31,19,14,22.0,15.1,-11.3,3.8,0.247
Donte' Deayon,donte deayon,ok,0.158,182,125,100,139.2,36,32,34,33.4,51.8,112.8,75.3,0.466
Andre Debose,andre debose,no face,0.0,,,,,,,,,,,,
Eric Decker,eric decker,no face,0.0,,,,,,,,,,,,
Taylor Decker,taylor decker,ok,0.121,153,105,85,117.1,22,17,15,18.3,-37.7,54.8,70.8,0.5
Treston Decoud,treston decoud,ok,0.174,56,28,16,35.0,12,11,11,11.3,-135.9,-175.6,-191.8,0.526
Austin Deculus,austin deculus,ok,0.137,210,136,103,154.4,31,24,17,25.3,27.9,96.0,58.4,0.18
Derrick Deese,derrick deese,no face,0.0,,,,,,,,,,,,
