name,TGID,pos,skin,fam,variant,hairfam,appearance
Willie Gillespie,6,WR,1,4,a,1,"['Head4a', 'Eyes1e', 'Hair1i', 'Beard1e', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes2']"
Leonard Harris,6,WR,1,4,a,1,"['Head4a', 'Eyes1a', 'Hair1f', 'Beard1f1', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Donald Igwebuike,6,K,0,1,a,2,"['Head1a', 'Eyes1a', 'Hair2e', 'Beard2g', 'Eyebrows2a', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
Bob Nelson,6,DE,1,3,b,1,"['Head3b', 'Eyes1d', 'Hair1h', 'Beard1e', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
George Yarno,6,OG,0,2,b,1,"['Head2b', 'Eyes1d', 'Hair1f', 'Beard1a', 'Eyebrows1a', 'Nose2a', 'Mouth2a', 'Glasses1e', 'Clothes1']"
Kevin Murphy,6,OLB,0,3,a,1,"['Head3a', 'Eyes1b', 'Hair1a', 'Beard1g', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Keith Browner,6,OLB,1,3,a,1,"['Head3a', 'Eyes1e', 'Hair1d', 'Beard1d', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
William Gay,19,DE,1,3,c,1,"['Head3c', 'Eyes1d', 'Hair1l', 'Beard1a', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
J.D. Maarvleveld,6,OT,2,3,b,1,"['Head3b', 'Eyes1b', 'Hair1a', 'Beard1e', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Ron Heller,6,OT,0,3,b,1,"['Head3b', 'Eyes1b', 'Hair1b', 'Beard1b', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Scot Brantley,6,MLB,1,4,a,1,"['Head4a', 'Eyes1d', 'Hair1s', 'Beard1g', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Jeff Davis,6,MLB,1,4,a,1,"['Head4a', 'Eyes1d', 'Hair1r2', 'Beard1b', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes2']"
Frank Garcia,6,P,0,3,a,1,"['Head3a', 'Eyes1b', 'Hair1n', 'Beard1g', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Dexter Manley,26,DE,1,4,a,1,"['Head4a', 'Eyes1d', 'Hair1s', 'Beard1a', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Steve Young,6,QB,0,3,a,1,"['Head3a', 'Eyes1b', 'Hair1n', 'Beard1g', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Alan Risher,6,QB,0,1,a,5,"['Head1a', 'Eyes1c', 'Hair5g', 'Beard5f2', 'Eyebrows5a', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
Randy Clark,7,C,0,3,b,1,"['Head3b', 'Eyes1d', 'Hair1l', 'Beard1e', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Gene Chilton,7,C,0,1,b,1,"['Head1b', 'Eyes1b', 'Hair1a', 'Beard1e', 'Eyebrows1a', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
John Dutton,11,DT,1,4,d,1,"['Head4d', 'Eyes1d', 'Hair1o', 'Beard1d', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes2']"
Bobby Johnson,7,CB,1,3,a,3,"['Head3a', 'Eyes1e', 'Hair3k', 'Beard3e', 'Eyebrows3a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Timmy Newsome,11,RB,1,3,a,3,"['Head3a', 'Eyes1b', 'Hair3f', 'Beard3e', 'Eyebrows3a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Tommy Haynes,11,S,1,4,a,1,"['Head4a', 'Eyes1e', 'Hair1h', 'Beard1f2', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes2']"
Jeff Griffin,7,CB,0,3,a,1,"['Head3a', 'Eyes1b', 'Hair1e', 'Beard1e', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Michael Downs,11,S,1,4,a,1,"['Head4a', 'Eyes1b', 'Hair1a', 'Beard1e', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Carl Carter,7,CB,1,4,a,1,"['Head4a', 'Eyes1d', 'Hair1a', 'Beard1e', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Cedric Mack,7,CB,1,3,a,1,"['Head3a', 'Eyes1c', 'Hair1i', 'Beard1e', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Herschel Walker,11,RB,1,4,a,1,"['Head4a', 'Eyes1d', 'Hair1f', 'Beard1d', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Jay Pennison,30,C,0,3,b,1,"['Head3b', 'Eyes1d', 'Hair1r2', 'Beard1e', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
David Galloway,7,DT,1,3,b,1,"['Head3b', 'Eyes1d', 'Hair1f', 'Beard1f1', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Elois Grooms,7,DT,1,4,c,1,"['Head4c', 'Eyes1b', 'Hair1f', 'Beard1f1', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Mark Duda,7,DT,1,4,b,1,"['Head4b', 'Eyes1d', 'Hair1r1', 'Beard1a', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Earl Ferrell,7,RB,0,1,a,1,"['Head1a', 'Eyes1a', 'Hair1h', 'Beard1g', 'Eyebrows1a', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
Wayne Smith,7,S,0,1,a,1,"['Head1a', 'Eyes1e', 'Hair1r2', 'Beard1g', 'Eyebrows1b', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
Lonnie Young,7,S,1,4,a,1,"['Head4a', 'Eyes1a', 'Hair1r1', 'Beard1d', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Darryl Clack,11,RB,1,3,a,1,"['Head3a', 'Eyes1a', 'Hair1r1', 'Beard1b', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Ron Wolfley,7,RB,1,3,a,1,"['Head3a', 'Eyes1e', 'Hair1h', 'Beard1b', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Bobby Humphrey,18,CB,0,3,a,3,"['Head3a', 'Eyes1c', 'Hair3j', 'Beard3f1', 'Eyebrows3a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Broderick Sargent,7,RB,1,3,a,1,"['Head3a', 'Eyes1d', 'Hair1c', 'Beard1f2', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
John Lee,7,K,0,2,a,2,"['Head2a', 'Eyes1d', 'Hair2g', 'Beard2g', 'Eyebrows2a', 'Nose2a', 'Mouth2a', 'Glasses1e', 'Clothes1']"
Bob Clasby,7,DE,1,3,b,3,"['Head3b', 'Eyes1d', 'Hair3f', 'Beard3f2', 'Eyebrows3a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Kurt Ploeger,11,DE,1,4,a,1,"['Head4a', 'Eyes1a', 'Hair1q', 'Beard1e', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Rick DiBernardo,7,OLB,1,4,a,1,"['Head4a', 'Eyes1c', 'Hair1b', 'Beard1e', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Bob Otto,11,DE,1,4,a,1,"['Head4a', 'Eyes1e', 'Hair1d', 'Beard1e', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Rick Bryan,14,DE,1,3,b,1,"['Head3b', 'Eyes1b', 'Hair1b', 'Beard1g', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Freddie Joe Nunn,7,OLB,2,3,b,1,"['Head3b', 'Eyes1a', 'Hair1r2', 'Beard1b', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Tootie Robbins,7,OT,1,4,b,1,"['Head4b', 'Eyes1e', 'Hair1p', 'Beard1g', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes2']"
Don McNeal,12,CB,1,4,a,1,"['Head4a', 'Eyes1e', 'Hair1h', 'Beard1e', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes2']"
Mike Ruether,7,OT,1,4,b,1,"['Head4b', 'Eyes1d', 'Hair1a', 'Beard1d', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Tom Howard,7,MLB,1,4,c,1,"['Head4c', 'Eyes1d', 'Hair1s', 'Beard1e', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Anthony Bell,7,MLB,1,4,a,1,"['Head4a', 'Eyes1d', 'Hair1r1', 'Beard1g', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes2']"
Terry Long,29,OG,0,3,b,1,"['Head3b', 'Eyes1d', 'Hair1c', 'Beard1a', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Greg Cater,7,P,0,2,a,3,"['Head2a', 'Eyes1a', 'Hair3j', 'Beard3c', 'Eyebrows3b', 'Nose2a', 'Mouth2a', 'Glasses1e', 'Clothes2']"
Brian Baldinger,11,OG,0,3,b,1,"['Head3b', 'Eyes1a', 'Hair1r2', 'Beard1a', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Neil Lomax,7,QB,0,1,a,1,"['Head1a', 'Eyes1a', 'Hair1d', 'Beard1f2', 'Eyebrows1b', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
Kent Austin,7,QB,0,1,a,3,"['Head1a', 'Eyes1e', 'Hair3h', 'Beard3a', 'Eyebrows3a', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
Cliff Stoudt,7,QB,0,2,c,1,"['Head2c', 'Eyes1a', 'Hair1h', 'Beard1g', 'Eyebrows1a', 'Nose2a', 'Mouth2a', 'Glasses1e', 'Clothes1']"
Gary Dulin,7,DE,0,1,b,3,"['Head1b', 'Eyes1d', 'Hair3j', 'Beard3e', 'Eyebrows3a', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
Stafford Mays,7,DE,0,1,a,3,"['Head1a', 'Eyes1b', 'Hair3h', 'Beard3a', 'Eyebrows3b', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes2']"
Doug Dawson,7,OG,1,4,b,1,"['Head4b', 'Eyes1a', 'Hair1i', 'Beard1d', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Niko Noga,7,MLB,1,3,a,3,"['Head3a', 'Eyes1d', 'Hair3b', 'Beard3b', 'Eyebrows3b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
David Waymer,27,CB,1,4,a,3,"['Head4a', 'Eyes1a', 'Hair3j', 'Beard3g', 'Eyebrows3b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Ron Monaco,7,OLB,1,3,a,1,"['Head3a', 'Eyes1b', 'Hair1a', 'Beard1e', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Lance Smith,7,OT,1,4,b,1,"['Head4b', 'Eyes1d', 'Hair1d', 'Beard1a', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Chuck Commiskey,27,OG,0,2,b,2,"['Head2b', 'Eyes1a', 'Hair2j', 'Beard2b', 'Eyebrows2b', 'Nose2a', 'Mouth2a', 'Glasses1e', 'Clothes2']"
Leonard Smith,7,S,1,3,a,1,"['Head3a', 'Eyes1e', 'Hair1a', 'Beard1e', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Dennis Thurman,7,S,1,3,c,3,"['Head3c', 'Eyes1b', 'Hair3j', 'Beard3e', 'Eyebrows3b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Jay Novacek,7,TE,0,1,a,2,"['Head1a', 'Eyes1e', 'Hair2i', 'Beard2c', 'Eyebrows2b', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
Greg LeFluer,7,TE,1,2,a,1,"['Head2a', 'Eyes1e', 'Hair1b', 'Beard1d', 'Eyebrows1a', 'Nose2a', 'Mouth2a', 'Glasses1e', 'Clothes1']"
Troy Johnson,7,WR,1,3,a,1,"['Head3a', 'Eyes1b', 'Hair1c', 'Beard1c', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Scott Holman,7,WR,1,3,a,1,"['Head3a', 'Eyes1b', 'Hair1b', 'Beard1e', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Chas Fox,7,WR,1,2,a,2,"['Head2a', 'Eyes1d', 'Hair2e', 'Beard2e', 'Eyebrows2b', 'Nose2a', 'Mouth2a', 'Glasses1e', 'Clothes1']"
J.T. Smith,7,WR,1,3,c,1,"['Head3c', 'Eyes1d', 'Hair1f', 'Beard1b', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Garth Jax,11,OLB,1,3,a,1,"['Head3a', 'Eyes1a', 'Hair1i', 'Beard1g', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Pat Tilley,7,WR,1,3,c,1,"['Head3c', 'Eyes1c', 'Hair1s', 'Beard1e', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Derek Kennard,7,OG,1,4,b,1,"['Head4b', 'Eyes1b', 'Hair1h', 'Beard1g', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
George Little,12,DE,1,3,b,1,"['Head3b', 'Eyes1c', 'Hair1j', 'Beard1b', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Brad Benson,16,OT,1,4,d,1,"['Head4d', 'Eyes1a', 'Hair1r1', 'Beard1d', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Ray Brown,7,OG,1,4,b,1,"['Head4b', 'Eyes1b', 'Hair1o', 'Beard1d', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Stump Mitchell,7,RB,1,3,a,1,"['Head3a', 'Eyes1d', 'Hair1s', 'Beard1g', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Doug Marsh,7,TE,1,3,a,3,"['Head3a', 'Eyes1d', 'Hair3h', 'Beard3c', 'Eyebrows3b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Paul Lankford,12,CB,1,4,a,1,"['Head4a', 'Eyes1a', 'Hair1c', 'Beard1c', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Luis Sharpe,7,OT,1,3,b,1,"['Head3b', 'Eyes1b', 'Hair1e', 'Beard1c', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Joe Bostic,7,OG,0,3,b,1,"['Head3b', 'Eyes1c', 'Hair1e', 'Beard1e', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Al Baker,7,DE,1,3,b,2,"['Head3b', 'Eyes1c', 'Hair2h', 'Beard2g', 'Eyebrows2b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Lionel Washington,7,CB,1,3,a,1,"['Head3a', 'Eyes1c', 'Hair1s', 'Beard1b', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Ken Taylor,8,CB,1,4,a,1,"['Head4a', 'Eyes1d', 'Hair1a', 'Beard1b', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Jim Leonard,8,C,0,1,a,1,"['Head1a', 'Eyes1a', 'Hair1c', 'Beard1d', 'Eyebrows1b', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes2']"
Leslie O'Neal,8,DE,1,4,b,1,"['Head4b', 'Eyes1e', 'Hair1j', 'Beard1g', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Don Macek,8,C,0,2,d,3,"['Head2d', 'Eyes1a', 'Hair3e', 'Beard3e', 'Eyebrows3b', 'Nose2a', 'Mouth2a', 'Glasses1e', 'Clothes1']"
Danny Walters,8,CB,1,3,a,2,"['Head3a', 'Eyes1e', 'Hair2d', 'Beard2g', 'Eyebrows2a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Kellen Winslow,8,TE,1,5,a,1,"['Head5a', 'Eyes1d', 'Hair1b', 'Beard1g', 'Eyebrows1b', 'Nose5a', 'Mouth5a', 'Glasses1e', 'Clothes1']"
Jim Lachey,8,OT,0,3,b,2,"['Head3b', 'Eyes1d', 'Hair2i', 'Beard2c', 'Eyebrows2a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Dennis McKnight,8,OG,0,3,d,1,"['Head3d', 'Eyes1b', 'Hair1b', 'Beard1a', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
David Martin,8,CB,1,4,a,1,"['Head4a', 'Eyes1a', 'Hair1r1', 'Beard1d', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
John Hendy,8,CB,1,4,a,1,"['Head4a', 'Eyes1b', 'Hair1c', 'Beard1f1', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Wayne Davis,8,CB,1,3,a,1,"['Head3a', 'Eyes1b', 'Hair1b', 'Beard1d', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Blaise Winter,8,DT,0,1,b,3,"['Head1b', 'Eyes1b', 'Hair3h', 'Beard3e', 'Eyebrows3b', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
Curtis Pardridge,8,WR,1,4,a,1,"['Head4a', 'Eyes1b', 'Hair1i', 'Beard1g', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Timmy Ware,8,WR,1,3,a,1,"['Head3a', 'Eyes1b', 'Hair1d', 'Beard1b', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Charlie Joiner,8,WR,1,3,c,1,"['Head3c', 'Eyes1e', 'Hair1q', 'Beard1g', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Wes Chandler,8,WR,1,3,c,1,"['Head3c', 'Eyes1a', 'Hair1h', 'Beard1d', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
James Fitzpatrick,8,OG,0,3,b,1,"['Head3b', 'Eyes1b', 'Hair1d', 'Beard1a', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Gary Anderson,8,RB,1,3,a,2,"['Head3a', 'Eyes1c', 'Hair2j', 'Beard2a', 'Eyebrows2a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Chuck Ehin,8,DT,2,3,b,1,"['Head3b', 'Eyes1d', 'Hair1a', 'Beard1b', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Jeff Rohrer,11,OLB,0,1,a,3,"['Head1a', 'Eyes1e', 'Hair3h', 'Beard3g', 'Eyebrows3a', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
Terry Unrein,8,DT,1,4,b,1,"['Head4b', 'Eyes1b', 'Hair1i', 'Beard1e', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Tim Spencer,8,RB,1,4,a,1,"['Head4a', 'Eyes1a', 'Hair1k', 'Beard1a', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Kevin Wyatt,8,S,0,1,a,2,"['Head1a', 'Eyes1e', 'Hair2i', 'Beard2g', 'Eyebrows2a', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes2']"
Gill Byrd,8,S,1,3,a,3,"['Head3a', 'Eyes1c', 'Hair3j', 'Beard3g', 'Eyebrows3a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Buford McGee,8,RB,1,4,a,1,"['Head4a', 'Eyes1b', 'Hair1r2', 'Beard1d', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Curtis Adams,8,RB,1,4,a,1,"['Head4a', 'Eyes1d', 'Hair1d', 'Beard1a', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Dan Fouts,8,QB,0,2,c,5,"['Head2c', 'Eyes1b', 'Hair5j', 'Beard5f2', 'Eyebrows5a', 'Nose2a', 'Mouth2a', 'Glasses1e', 'Clothes1']"
Bruce Mathison,8,QB,0,3,a,2,"['Head3a', 'Eyes1c', 'Hair2j', 'Beard2g', 'Eyebrows2b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Mark Herrmann,8,QB,0,1,a,5,"['Head1a', 'Eyes1c', 'Hair5a', 'Beard5f2', 'Eyebrows5a', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
Earl Wilson,8,DE,1,3,b,1,"['Head3b', 'Eyes1d', 'Hair1m', 'Beard1g', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Fred Robinson,8,DE,0,3,a,1,"['Head3a', 'Eyes1c', 'Hair1r1', 'Beard1d', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Curt DiGiacomo,8,OG,0,2,b,3,"['Head2b', 'Eyes1e', 'Hair3b', 'Beard3e', 'Eyebrows3b', 'Nose2a', 'Mouth2a', 'Glasses1e', 'Clothes1']"
Phil Pozderac,11,OT,0,3,b,1,"['Head3b', 'Eyes1b', 'Hair1h', 'Beard1d', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Derrie Nelson,8,OLB,0,2,a,2,"['Head2a', 'Eyes1c', 'Hair2d', 'Beard2d', 'Eyebrows2b', 'Nose2a', 'Mouth2a', 'Glasses1e', 'Clothes1']"
Woodrow Lowe,8,OLB,1,4,c,1,"['Head4c', 'Eyes1c', 'Hair1k', 'Beard1a', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes2']"
Bill Bates,11,S,1,4,a,1,"['Head4a', 'Eyes1d', 'Hair1a', 'Beard1g', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Jeff Walker,8,OT,0,3,b,1,"['Head3b', 'Eyes1a', 'Hair1m', 'Beard1g', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Jeffery Dale,8,S,1,4,a,1,"['Head4a', 'Eyes1d', 'Hair1d', 'Beard1f2', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Miles McPherson,8,S,1,3,a,1,"['Head3a', 'Eyes1d', 'Hair1n', 'Beard1c', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Pete Holohan,8,TE,1,5,a,1,"['Head5a', 'Eyes1b', 'Hair1o', 'Beard1g', 'Eyebrows1a', 'Nose5a', 'Mouth5a', 'Glasses1e', 'Clothes1']"
Eric Sievers,8,TE,1,2,a,3,"['Head2a', 'Eyes1b', 'Hair3j', 'Beard3g', 'Eyebrows3a', 'Nose2a', 'Mouth2a', 'Glasses1e', 'Clothes2']"
Trumaine Johnson,8,WR,1,3,a,1,"['Head3a', 'Eyes1b', 'Hair1h', 'Beard1e', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Rolf Benirschke,8,K,0,2,c,3,"['Head2c', 'Eyes1b', 'Hair3c', 'Beard3f2', 'Eyebrows3a', 'Nose2a', 'Mouth2a', 'Glasses1e', 'Clothes1']"
Lee Williams,8,DE,1,3,b,1,"['Head3b', 'Eyes1a', 'Hair1c', 'Beard1b', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Sam Claphan,8,OG,0,1,b,3,"['Head1b', 'Eyes1d', 'Hair3h', 'Beard3b', 'Eyebrows3a', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
Andy Demmin,8,OLB,0,3,a,1,"['Head3a', 'Eyes1c', 'Hair1m', 'Beard1g', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Billy Ray Smith,8,OLB,1,4,a,1,"['Head4a', 'Eyes1d', 'Hair1h', 'Beard1a', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Tom Jelesky,13,OT,0,3,b,1,"['Head3b', 'Eyes1b', 'Hair1b', 'Beard1g', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Ken Dallafior,8,OT,0,3,b,3,"['Head3b', 'Eyes1d', 'Hair3d', 'Beard3f2', 'Eyebrows3a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Gary Kowalski,8,OT,0,2,b,1,"['Head2b', 'Eyes1b', 'Hair1r1', 'Beard1d', 'Eyebrows1a', 'Nose2a', 'Mouth2a', 'Glasses1e', 'Clothes1']"
Ron Baker,13,OG,0,1,d,2,"['Head1d', 'Eyes1d', 'Hair2b', 'Beard2b', 'Eyebrows2a', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
Mark Fellows,8,MLB,1,4,a,1,"['Head4a', 'Eyes1e', 'Hair1b', 'Beard1e', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Gary Plummer,8,MLB,2,3,a,3,"['Head3a', 'Eyes1d', 'Hair3c', 'Beard3f1', 'Eyebrows3a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Bob Rush,17,C,0,1,d,2,"['Head1d', 'Eyes1b', 'Hair2b', 'Beard2g', 'Eyebrows2b', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes2']"
