name,TGID,POVR,PAGE,PYRP,length
Bob Brudzinski,12,82,31,9,1
Jeff Dellenbach,12,77,23,1,3
Kirk Lowdermilk,31,81,23,1,2
Richard Byrd,30,74,24,1,3
Greg Koch,12,80,31,9,1
Jim Rockford,17,71,25,1,3
Mark Brown,12,76,25,3,1
Jackie Shipp,12,80,24,2,2
Reggie Roby,12,99,25,3,5
Keith Graves,13,73,20,4,1
Dan Marino,12,91,24,3,1
Don Strock,12,79,35,12,1
Eric Harris,17,79,31,6,2
Evan Cooper,13,79,24,2,2
Ken Clarke,13,83,30,8,1
Ron Johnson,13,69,27,1,3
Kenny Johnson,14,78,34,6,3
Scott Case,14,82,24,2,2
Nick Haden,13,70,23,0,3
Keith Byars,13,82,22,0,4
John Spagnola,13,84,29,7,4
Byron Darby,13,79,26,3,1
Jeff Tupper,13,71,23,0,3
Michael Haddix,13,82,24,3,1
Wes Hopkins,13,81,25,3,1
Terry Hoage,13,77,24,2,2
Junior Tautalasi,13,72,23,0,4
Charles Crawford,13,64,22,0,4
Matt Cavanaugh,13,75,29,7,2
Randall Cunningham,13,83,23,1,4
Thomas Strauthers,13,76,25,3,1
Clyde Simmons,13,82,22,0,4
Mossy Cade,20,79,24,1,2
Reggie Singletary,13,74,22,0,3
Adam Schreiber,13,80,24,2,2
Rich Kraynak,13,75,25,2,2
Alonzo Johnson,13,78,23,0,3
Leonard Mitchell,13,80,27,5,1
Andre Waters,13,80,33,2,2
William Frizzell,13,77,24,2,2
Dave Little,13,70,25,2,2
Van Jakes,27,75,25,2,2
John Goode,13,68,23,2,2
Andrew Provence,14,77,25,3,1
Keith Baker,13,70,29,1,3
Paul McFadden,13,81,24,2,3
Reggie White,13,93,24,2,2
Ken Reeves,13,79,24,1,2
Byron Lee,13,71,22,0,2
Seth Joyner,13,82,21,0,5
Willie Tullis,27,77,28,5,1
Marty Lyons,18,86,29,7,6
Mike Black,13,71,22,0,4
Jim Gilmore,13,70,23,0,4
Dwayne Jiles,13,73,24,1,1
Fulton Walker,23,78,28,5,1
Mike Reichenbach,13,80,25,2,2
John Teltschik,13,79,22,0,3
Ron Jaworski,13,82,35,12,2
Aubrey Matthews,14,70,24,0,4
Keith Williams,14,67,22,0,2
Charlie Brown,14,83,27,4,3
Floyd Dixon,14,80,22,0,5
John Scully,14,82,29,4,1
Dwaine Board,15,84,29,7,6
Gerald Riggs,14,84,25,4,1
Dan Benish,14,77,25,3,1
Bill Ring,15,73,29,5,1
Tom Flynn,20,77,24,2,2
Tim McKyer,15,84,23,0,4
Mike Pitts,14,88,26,3,6
Jerry Holmes,18,83,28,6,3
Sylvester Stamps,14,82,25,2,2
Wendell Cason,14,77,23,1,3
Bret Clark,14,79,25,0,4
Dave Brown,28,84,33,11,1
Cliff Austin,14,73,26,3,1
Tim Tyrrell,14,70,25,2,1
David Archer,14,78,24,2,3
Bob Holly,14,63,26,3,1
Michael Walter,15,77,25,3,2
Ken McArthur,18,72,24,0,3
Turk Schonert,14,76,29,5,3
Michael McInnis,14,69,24,0,4
Joe Costello,14,74,26,0,4
Jamie Dukes,14,75,22,0,5
Carl Howard,18,74,24,2,1
Aaron Brown,14,74,30,8,1
Russell Gary,27,82,27,5,1
David Mullen,18,76,26,3,1
Joel Williams,14,82,29,7,3
Eric Sanders,14,76,27,5,1
Robert Moore,14,73,27,0,4
Jim Britt,14,80,26,3,2
Ken Whisenhunt,14,76,24,1,1
Ron Middleton,14,74,21,0,4
Patrick Allen,30,80,25,2,2
Patrick Hunter,28,76,21,0,3
Stacey Bailey,14,80,26,4,1
Mick Luckhurst,14,84,28,6,1
Mike Gann,14,80,22,1,2
Ray Phillips,14,70,22,0,4
John Dorsey,20,82,26,2,2
Joseph Pellegrini,14,74,29,4,1
Tim Green,14,79,22,0,4
Reggie Wilkes,14,82,30,8,1
Glen Howe,14,70,24,1,2
Brett Miller,14,82,27,3,1
Johnny Taylor,14,72,25,2,2
John Rade,14,82,26,3,1
Gerald Robinson,31,73,23,0,4
Tony Elliot,27,83,27,4,1
Rick Donnelly,14,78,23,1,3
John Bostic,19,73,26,1,2
Lee Smith,15,69,24,0,4
Dana McLemore,15,77,26,4,2
Eric Wright,15,87,27,5,1
Pete Kugler,15,78,27,5,1
Jerry Rice,15,94,23,1,3
Dwight Clark,15,86,29,7,6
John Ayers,15,79,33,9,1
Guy McIntyre,15,85,25,2,2
Eric Martin,27,81,24,1,2
Roger Craig,15,87,26,3,4
Russ Francis,15,89,33,11,1
Bubba Paris,15,86,25,3,1
Manu Tuiasosopo,15,88,29,7,1
Arnold Brown,19,69,23,1,3
Michael Carter,15,90,25,2,4
Tom Rathman,15,84,23,0,5
Tory Nixon,15,78,24,1,3
Ronnie Lott,15,95,27,5,4
Bruce McNorton,19,81,27,4,1
Derrick Harmon,15,70,23,2,2
Wendell Tyler,15,81,31,9,1
Mike Moroski,15,74,29,6,1
Larry Roberts,15,80,23,0,4
Doug Rogers,15,76,26,3,1
Michael Durette,15,72,29,0,4
Tom Cousineau,15,77,29,4,2
Keena Turner,15,91,27,6,6
Keith Fahnhorst,15,87,34,12,1
Carlton Williamson,15,83,28,5,5
Tom Holmoe,15,74,26,2,2
Jerry Doerger,32,77,26,2,2
John Frank,15,77,24,2,2
Mike Wilson,15,76,27,5,1
John Taylor,15,78,24,0,3
Derrick Crawford,15,71,26,2,2
Ray Wersching,15,92,36,13,1
Jeff Stover,15,84,28,4,5
Leonard Marshall,16,90,24,3,1
Rob Monaco,32,72,25,1,2
Milt McColl,15,81,27,5,1
Charles Haley,15,84,22,0,5
Bruce Collie,15,75,24,1,3
Steve Wallace,15,80,21,0,6
Ron Ferrari,15,73,27,4,2
Riki Ellison,15,84,26,3,1
Max Runager,15,91,30,7,1
Ed Berry,20,73,23,0,4
Joe Montana,15,95,30,7,2
Russell Carter,18,79,24,2,2
Jeff Kemp,15,77,27,4,2
Tyrone Davis,16,72,24,1,2
Herb Welch,16,76,25,1,3
Perry Williams,16,82,25,2,1
Jim Burt,16,92,27,5,1
Solomon Miller,16,70,21,0,4
Lionel Manuel,16,81,24,2,2
Bobby Johnson,16,79,24,2,1
Lee Davis,17,77,23,2,2
Billy Ard,16,84,27,5,1
Gary Hayes,20,76,29,2,2
Joe Morris,16,83,25,4,2
Mark Bavaro,16,92,23,1,3
Jerome Sally,16,80,27,4,5
Maurice Carthon,16,80,25,1,2
Gary Johnson,17,73,34,11,1
Fred Marion,22,84,27,4,1
George Rogers,26,83,27,5,2
Erik Howard,16,84,22,0,4
Tony Galbreath,16,88,32,10,1
Lance Hamilton,16,70,21,0,4
Buford Jordan,27,80,24,0,3
John L. Williams,28,86,21,0,5
Fred Lee,16,72,33,11,1
George Adams,16,71,23,1,2
Charles Martin,20,80,27,2,2
Sean Thomas,32,74,24,1,3
Herman Hunter,19,73,25,1,3
Marcus Allen,23,86,26,4,4
Tom Briehl,17,70,24,1,2
Bob Hamm,32,71,27,3,1
Jessie Clark,20,75,26,3,1
Ray Wallace,30,74,22,0,4
Rueben Mayes,27,85,23,0,5
Lee Rouson,16,73,23,1,3
Jeff Rutledge,16,73,29,7,1
Jeff Hostetler,16,77,25,1,3
Lawrence Johnson,21,79,29,6,3
Eric Dorsey,16,79,22,0,4
Mike Wilcher,24,84,26,3,5
Miles Turpin,25,70,22,0,2
Bob Landsee,21,69,22,0,4
John Washington,16,76,23,0,3
Sam Mills,27,85,27,0,4
Greg Gaines,28,81,27,4,1
David Jordan,16,68,24,2,1
Pete Brock,22,87,32,10,1
Andy Headen,16,75,26,3,1
Lawrence Taylor,16,98,27,5,2
Jim Haslett,21,83,28,7,1
Mel Owens,24,81,27,5,3
Karl Nelson,16,83,26,2,2
Kenny Hill,16,83,28,5,4
Kerry Justin,28,77,31,8,1
Matt Monger,18,72,24,1,3
Greg Lasker,16,70,21,0,3
Walter Abercrombie,29,82,26,4,6
Audray McMillian,30,77,24,1,2
Zeke Mowatt,16,78,25,2,2
James Harrell,19,82,29,7,2
Vyto Kab,16,64,26,4,1
Darryl Caldwell,21,77,26,1,4
Stacey Robinson,16,74,24,1,3
Shelton Robinson,19,74,26,4,1
Craig Bingham,17,76,26,4,1
Guy Morriss,22,74,35,13,1
Steve Clark,21,70,26,4,1
Vince Warren,16,65,23,0,3
Raul Allegre,16,86,27,3,5
Eric Williams,19,78,24,0,4
George Martin,16,85,33,11,1
William  Roberts,16,83,24,1,5
Thomas Johnson,16,69,22,0,3
Carl Banks,16,87,24,2,2
Damian Johnson,16,75,23,0,3
Raymond Clayborn,22,90,31,9,2
Conrad Goode,16,68,24,2,2
Robbie Jones,16,73,26,2,2
Pepper Johnson,16,79,22,0,4
Sean Landetta,16,86,24,1,3
Phil Simms,16,87,31,7,2
Dan Ralph,17,71,25,2,2
Robert Mathis,17,77,27,5,1
Mike Golic,30,78,23,0,3
Perry Harrington,17,79,28,6,2
Lucious Smith,17,78,29,6,2
Benny Perrin,17,74,26,4,1
Tommy Vigorito,17,74,26,4,1
Steve Strachan,32,71,23,1,3
Cedric Minter,17,72,27,2,1
Max Zendejas,17,78,23,0,4
Gregg Johnson,28,72,28,4,1
Charles Benson,17,77,25,3,1
Scott Williams,19,69,23,0,4
John Schumacher,17,78,30,6,1
Ken Jolly,17,77,24,2,2
Mike Guendling,17,74,24,1,3
Chris Schultz,17,71,26,2,1
John Scott,17,78,26,3,1
Carlos Bradley,17,78,26,5,2
Ronnie Washington,17,71,23,1,3
Ron Wooten,22,80,27,4,1
Bill Renner,17,80,27,0,3
Garin Veris,22,81,23,1,3
Joe Theismann,17,81,37,13,2
Richard Todd,17,78,32,11,1
Robbie Bosco,17,74,30,0,4
Dave Lindstrom,17,71,31,8,1
Chris Scott,17,72,24,2,1
Scott Auer,17,69,24,2,2
Tom Baldwin,18,75,25,2,1
Jerry Blanton,17,76,29,7,4
Scott Smith,17,78,27,5,4
John Harrison,17,70,21,0,4
Raphel Cherry,17,71,24,1,3
Tom Pridemore,17,78,30,8,1
Jeff Spek,17,72,25,0,4
Bo Robinson,17,77,27,7,1
Willis Adams,17,79,30,7,1
Fred Banks,17,73,24,1,3
Matt Millen,23,86,28,6,1
Ronnie Lippett,22,85,25,3,1
Harry Carson,16,91,32,10,2
Glen Young,17,70,25,3,1
Ricky Nichols,17,73,24,1,2
Cliff Branch,17,79,38,14,1
Kurt Peterson,17,74,29,6,2
Wesley Walker,18,88,31,9,5
James Jones,17,78,27,5,4
Glenn Dennison,17,70,24,2,1
Preston Gothard,29,80,24,1,3
Ron Essink,17,79,28,6,3
Petey Perot,17,78,29,6,1
Hal Stephens,17,77,25,1,3
Bill Pickel,23,88,26,3,5
Lewis Mills,17,76,26,4,1
Bill Bain,18,77,34,10,1
Freeman McNeil,18,86,27,5,1
Mickey Shuler,18,90,30,8,1
Jim Sweeney,18,82,24,2,2
Phil Epps,20,81,27,4,1
Dan Alexander,18,88,31,9,3
Derland Moore,18,72,34,13,1
Joe Klecko,18,92,32,9,1
Nuu Faaola,18,74,22,0,4
Johnny Lynn,18,77,29,6,1
Harry Hamilton,18,82,23,2,2
Marion Barber,18,75,26,4,3
Mike Wise,23,76,22,0,3
Dennis Bligen,18,67,24,2,2
Ben Rudolph,18,76,29,5,2
Barry Bennett,18,77,30,8,1
Carl Bland,19,76,25,2,2
Mike Haight,18,76,23,0,3
Rusty Guilbeau,18,74,27,4,1
Bob Crable,18,85,26,4,3
Reggie McElroy,18,81,26,3,1
Lester Lyles,18,79,23,1,3
Rich Miano,18,77,24,1,4
Rocky Klever,18,76,27,3,1
Billy Griggs,18,70,24,1,3
Kurt Sohn,18,75,29,5,3
Michael Harper,18,68,25,0,4
JoJo Townsell,18,72,25,1,3
Al Toon,18,88,23,1,3
Pat Leahy,18,93,35,14,2
Mark Gastineau,18,86,29,6,1
Ted Banker,18,80,25,2,3
Rogers Alexander,18,72,22,0,4
Charles Jackson,18,82,31,8,1
Gordon King,18,75,30,8,1
Bob White,18,63,23,0,1
Troy Benson,18,70,23,0,4
Kyle Clifton,18,87,24,2,2
Dave Jennings,18,95,34,12,1
Ken O'Brien,18,85,25,2,2
Pat Ryan,18,77,30,8,1
Steve Kenney,19,80,30,6,1
Bill Barnett,21,77,26,7,2
Garry James,19,78,23,0,6
David Lewis,19,76,25,2,2
Lomas Brown,19,83,24,1,3
Kevin Glover,19,82,23,1,4
Mike Weaver,19,68,23,0,4
Steve Baack,19,74,25,2,1
James Jones,19,87,25,3,1
Alvin Hall,19,69,28,5,1
Devon Mitchell,19,78,24,0,4
Alvin Moore,19,73,27,3,1
Oscar Smith,19,68,23,0,4
Leon Evans,19,73,25,1,1
Curtis Green,19,75,26,5,2
Keith Dorney,19,76,28,7,1
James Johnson,19,72,25,1,3
Michael Cofer,19,82,26,3,2
Rich Strenger,19,81,23,3,1
Elbert Watts,21,74,23,0,4
Demetirous Johnson,19,78,25,3,1
James Griffin,19,77,25,3,1
LeRoy Irvin,24,92,29,6,2
Reggie Doss,24,82,29,8,4
Rob Rubick,19,74,26,4,3
Reese McCall,19,73,30,8,2
Leonard Thompson,19,79,34,11,2
Mark Nichols,19,70,26,5,2
Jerry Gray,24,88,23,1,3
Tim Fox,24,79,32,10,3
Pete Mandley,19,75,25,3,2
Jeff Chadwick,19,79,26,3,1
Eddie Murray,19,96,30,6,2
Keith Ferguson,19,83,36,5,3
Scott Barrows,19,71,23,0,3
Paul Butcher,19,74,22,0,4
Mickey Sutton,24,71,25,0,3
Jimmy Williams,19,82,24,2,1
Chris Dieterich,19,75,28,6,1
Keith Bosley,19,66,23,0,3
Angelo King,19,73,28,5,3
Vernon Maxwell,19,78,24,3,1
Jim Arnold,19,91,24,3,2
Eric Hipple,19,80,29,6,1
Chuck Long,19,68,23,0,4
Joe Ferguson,19,76,37,15,1
Rich Moran,20,77,24,1,2
Kenneth Davis,20,78,24,0,5
Dan Ross,20,83,29,7,3
Ken Ruettgers,20,81,24,1,3
Ron Hallstrom,20,82,27,4,3
Donnie Humphrey,20,75,25,2,2
Matt Koart,20,73,22,0,3
Keith Baldwin,25,77,25,4,1
Terry Lewis,25,73,23,1,2
Paul Ott Carruth,20,80,25,0,3
Gary Green,25,77,30,9,1
Ken Stills,20,76,23,1,3
Mike Pleasant,25,77,28,2,2
Tim Lewis,20,81,25,3,1
Gerry Ellis,20,76,29,6,1
Gary Ellerson,20,72,23,1,3
Ezra Johnson,20,82,31,9,1
John Anderson,20,83,30,8,1
Ruben Mendoza,20,70,23,0,4
Mike Jones,27,79,26,3,1
Robert Sowell,21,77,25,3,1
James Malcolm,30,68,22,0,3
Brian Noble,20,83,24,1,3
Bobby Leopold,20,75,29,6,1
Alan Veingrad,20,78,24,0,4
Keith Simpson,25,75,30,8,3
David Greenwood,20,75,26,1,3
John Sullivan,20,72,24,0,3
Ed West,20,81,25,2,3
Mike Moffitt,20,71,23,0,3
Walter Stanley,20,76,24,1,3
Preston Dennard,20,72,30,8,1
Nolan Franz,20,64,27,0,1
James Lofton,20,88,30,8,1
Al Del Greco,20,88,24,2,2
Alphonso Carreker,20,80,24,2,2
Tom Neville,20,79,24,1,3
Burnell Dent,20,74,23,0,4
Tim Harris,20,79,22,0,3
Greg Feasel,20,70,28,0,3
Bill Cherry,20,70,25,0,4
Jeff Schuh,20,75,28,5,1
Mike Weddington,20,72,26,0,4
Joe Nash,28,86,25,4,4
Don Bracken,20,79,23,1,3
Randy Wright,20,77,25,2,2
Chuck Fusina,20,72,29,5,3
Allen Lyday,30,75,25,2,2
Vince Ferragamo,20,75,32,9,1
Scott Garnett,25,73,23,2,2
Kirk Springs,21,79,28,5,1
Lester Williams,21,73,27,4,1
Mitchell Brookins,21,72,25,2,2
Derek Holloway,21,75,25,0,4
Don Homes,21,71,25,0,4
Greg Christy,21,76,24,1,4
Ernest Gibson,22,76,24,2,2
Anthony Steels,21,74,27,1,3
Eason Ramson,21,78,30,7,1
Curt Warner,28,87,25,3,1
Brad White,21,77,28,5,1
Vernon Dean,26,83,27,4,1
Willard Goff,21,67,24,1,1
Wayne Schutte,21,72,26,4,1
Barry Wilburn,26,76,22,1,2
Frank Hawkins,23,82,27,5,1
Booker Moore,21,78,27,4,1
Barry Redden,24,82,26,4,2
Earnest Jackson,29,89,26,3,2
Tim Morrison,26,71,23,0,3
Mack Boatner,21,72,27,0,3
Don Wilson,21,77,25,2,1
Wayne Asberry,26,66,23,0,4
Herman Edwards,24,77,32,9,1
Jim Perryman,21,71,25,1,1
Anthony Hutchinson,21,78,25,3,1
Dave Butz,26,87,36,13,2
Mosi Tatupu,22,85,31,8,1
Chuck Banks,21,72,22,0,4
Jim Zorn,21,81,33,11,1
Joe Washington,25,78,32,9,1
Kelvin Bryant,26,78,26,1,2
Matt Kofler,21,74,27,5,1
Shawn Miller,24,81,25,2,1
Ben Williams,21,79,32,10,1
Vaughn Johnson,27,81,24,0,3
Johnny Meads,30,84,25,2,2
Markus Koch,21,72,23,1,3
Ed Newman,21,79,35,13,1
Rod McSwain,22,77,24,2,2
Robin Sendlein,25,77,27,5,2
Frank Bush,30,73,23,1,3
Mitch Willis,23,74,24,1,3
Steve Maidlow,21,78,26,3,1
Clayton Weishuhn,21,74,26,3,1
Stan Waldemore,21,77,31,8,2
Brian Williams,21,79,33,5,2
Larry Flowers,21,75,28,5,1
Don Kern,21,71,24,2,2
Neal Olkewicz,26,82,29,7,2
Rickey Jackson,27,92,28,5,2
Anthony Jones,21,69,25,2,2
Shawn Burks,26,70,23,0,3
Andre Tippett,22,90,26,4,5
Eric Swanson,21,71,23,0,4
Fredd Young,28,88,25,2,2
Carl Ekern,24,91,31,10,2
Steve Nelson,22,85,35,12,6
Mark Jerue,24,88,26,3,2
James Harbour,21,70,23,0,4
Ali Haji-Sheikh,21,83,25,3,1
Brad Edelman,27,81,26,4,1
Jerome Foster,21,71,26,2,2
Mark Catano,21,77,24,2,2
Stan David,21,70,24,1,1
Pat Saindon,27,72,25,0,3
Jack Squirek,21,73,27,4,3
Joe Conwell,21,68,25,0,3
Gary Smith,21,68,26,2,2
Doug Smith,30,81,27,1,2
Larry McGrew,22,81,29,5,1
Reggie McKenzie,23,75,23,1,2
Eric Wilson,21,75,23,1,2
Andy Hendle,21,70,25,0,4
Evan Arapostathis,21,78,22,0,4
Scott Brunner,21,74,29,6,2
Norm Tate,22,67,22,0,3
Toby Williams,22,81,26,3,1
Irvin Fryar,22,83,23,2,2
Cedric Jones,22,76,26,4,1
Paul Fairchild,22,81,24,2,2
Gary Irwin,22,76,32,10,1
Tony Collins,22,82,27,5,2
Dalton Hilliard,27,79,22,0,4
Greg Hawthorne,22,77,30,7,3
Brian Holloway,22,88,27,5,1
Hoby Brenner,27,86,27,5,4
Dennis Owens,22,76,26,4,1
Mike Ruth,22,71,22,0,3
Robert Weathers,22,75,26,4,2
Vencie Glenn,22,77,21,0,4
Ernest Givins,30,82,22,0,4
Gene Profit,22,70,21,0,3
Craig James,22,79,25,2,2
Reggie Dupard,22,72,22,0,4
Steve Grogan,22,81,33,11,3
Brent Williams,22,81,22,0,3
Ben Thomas,22,73,25,1,3
Trevor Matich,22,77,24,1,3
Don Blackmon,22,90,28,5,4
Ed Williams,22,77,24,2,1
Steve Moore,22,80,25,3,1
Roland James,22,85,28,6,4
Jim Bowman,22,71,22,1,1
Greg Baty,22,76,22,0,5
Willie Scott,22,69,27,5,1
Stephen Starring,22,74,25,3,2
Derwin Williams,22,68,25,1,2
Gerard Phelan,22,64,23,0,3
Tony Franklin,22,89,29,7,4
Kenneth Sims,22,80,26,4,5
Earl Cooper,23,72,28,6,3
Johnny Rembert,22,79,25,3,2
Steve Doig,22,73,26,3,1
Darryl Haley,22,72,25,3,1
Anthony Allen,25,75,27,1,3
Art Plunkett,22,74,27,5,1
Ed Reynolds,22,76,24,3,1
Mel Black,22,71,24,0,3
Rich Camarillo,22,95,26,5,6
Tony Eason,22,84,26,3,1
Tom Ramsey,22,71,25,0,4
Stefon Adams,23,72,23,0,4
Mike Davis,23,78,30,8,1
Napoleon McCallum,23,75,22,0,3
Vance Mueller,23,73,22,0,3
Chris Bahr,23,92,33,10,4
Howie Long,23,90,26,5,3
Jerry Robinson,23,83,29,7,2
Linden King,23,78,31,8,1
Bruce Davis,23,85,30,6,2
Henry Lawrence,23,80,34,12,1
Jeff Barnes,23,79,31,9,1
Bob Nelson,23,69,33,7,1
Ray Guy,23,99,36,13,4
Marc Wilson,23,83,29,6,2
Rusty Hilger,23,67,24,1,3
Jim Plunkett,23,84,38,15,1
Elvis Franks,23,74,29,6,1
Sean Jones,23,85,23,2,2
Henry Ellard,24,84,25,3,3
Daryl Turner,28,80,23,2,1
Mickey Marvin,23,84,30,9,4
Rod Martin,23,83,32,9,3
Jamie Kimmel,23,72,24,0,4
Chris Riehm,23,71,25,0,3
Stacey Toran,23,79,24,2,2
James Davis,23,75,29,4,1
Todd Christensen,23,91,30,8,3
Byron Franklin,28,76,28,4,3
Trey Junkin,23,65,25,3,1
Jessie Hester,23,81,23,1,3
Rod Barksdale,23,74,24,0,4
Tim Moffett,23,68,24,1,2
Jim Smith,23,67,31,7,1
Cle Montgomery,23,71,30,7,2
Charley Hannah,23,86,31,9,1
Bill Lewis,23,77,23,0,4
Derrick Jensen,23,71,30,7,2
Craig Wolfley,29,85,28,6,1
Andy Parker,23,74,25,2,2
Shelby Jordan,23,74,34,11,1
Curt Marsh,23,75,27,5,1
Greg Townsend,23,82,24,3,3
Odis McKinney,23,77,29,8,1
Tom Newberry,24,80,23,0,4
Eric Dickerson,24,94,26,3,1
Tony Hunter,24,74,26,3,1
Irv Pankey,24,84,28,6,1
Dennis Harrah,24,94,33,11,4
Jim Dombrowski,27,82,22,0,4
Greg Meisner,24,78,27,5,3
Alvin Wright,24,73,25,0,4
Mike Gunman,24,81,28,6,3
Vince Newsome,24,90,25,3,2
Johnnie Johnson,24,78,29,6,1
Harvey Clayton,29,78,25,3,1
Donnie Elder,29,73,23,1,2
Charles White,24,81,28,6,4
Rob Carpenter,24,76,31,9,1
Doug Reed,24,85,26,2,4
Charles DeJurnett,24,78,34,10,1
Duval Love,24,77,23,1,3
Joey Jones,25,72,23,0,4
Chris Thrift,24,74,27,7,1
Chris Brown,29,71,24,2,2
Norwood Vann,24,73,24,2,1
Jackie Slater,24,93,32,10,2
Nolan Cromwell,24,91,31,9,3
Mark Pembrook,24,68,23,0,4
Damone Johnson,24,76,24,0,3
James McDonald,24,67,25,3,1
Ron Brown,24,78,25,2,2
Mike Young,24,76,24,1,2
Mark Pattison,24,64,24,0,3
Bobby Duckworth,24,75,29,4,1
Mike Lansford,24,84,28,4,6
Gary Jeter,24,81,31,9,1
Kent Hill,24,77,29,7,1
Kevin Greene,24,80,24,1,3
Mike McDonald,24,73,28,1,1
Mike Schaed,24,65,22,0,3
Robert Cox,24,67,22,0,2
Steve Busick,24,76,27,5,4
Mike Munchak,30,86,26,4,3
Jim Laughlin,24,76,28,6,3
Dan Wagoner,32,79,26,4,2
Dale Hatcher,24,80,23,1,3
Steve Bartkowski,24,81,33,11,1
Dieter Brock,24,73,35,13,1
Steve Dils,24,75,30,7,2
Pat Howell,25,79,29,7,3
Dwight Garner,25,72,21,0,4
Cap Boso,25,78,26,0,4
Marshharne Graves,25,76,24,2,2
Curtis Greer,25,78,28,6,1
Art Monk,26,94,28,6,4
Ricardo Mayes,25,74,26,4,2
Kenny King,25,74,29,7,1
Anthony Young,25,74,22,1,3
Glenn Robinson,25,79,28,6,1
Eric Moran,30,73,26,2,1
Otis Wonsley,25,77,29,5,2
Stan Edwards,25,74,26,4,1
Lynn Dickey,25,80,37,14,3
Kim Bokamper,25,78,31,9,3
Byron Smith,25,74,23,2,2
Emil Boures,25,72,26,4,1
John Woodring,25,74,27,5,1
Aaron Smith,25,77,24,2,2
Dean Miraldi,25,71,28,4,1
Terry Jackson,32,76,30,8,1
Keith Lee,25,74,28,5,1
Rod Kush,25,79,29,6,1
Michael Cherry,32,71,22,0,3
Robert Stallings,25,70,24,2,1
Darren Long,25,66,23,0,3
Chuck Scott,25,74,23,0,5
Vince Heflin,25,76,27,4,2
Nick Bruckner,25,73,25,3,1
Joe Cooper,25,80,25,1,3
Walt Bowyer,25,71,26,4,2
Bob Olderman,25,68,24,1,3
Curtis McGriff,32,77,28,6,3
Mike Rozier,30,80,25,1,2
Angelo Snipes,25,74,23,0,3
Charles Bowser,25,78,26,4,5
Kevin Belcher,25,71,24,1,3
Russ Grimm,26,92,27,5,3
Kelvin Clark,25,77,30,7,2
Bobby Bell,25,73,24,2,2
Roosevelt Barnes,25,79,28,5,2
Mike Black,25,80,25,3,1
Paul McDonald,25,76,28,6,1
Gino Hartley,25,73,28,6,1
Raleigh McKenzie,26,77,23,1,3
Rick Badanjek,26,72,24,0,4
Dennis Swilley,31,74,31,9,2
Clint Didier,26,83,27,4,2
Joe  Jacoby,26,89,27,5,3
R.C. Thielemann,26,86,31,9,2
Dean Hamel,26,77,25,1,2
Darryl Grant,26,81,26,5,2
Reggie Branch,26,78,23,1,3
Rufus Bess,31,77,30,7,2
Curtis Jordan,26,82,32,10,1
Todd Bowles,26,77,22,0,4
Keith Griffin,26,69,24,2,1
Ken Jenkins,26,70,27,3,1
Charles Mann,26,87,25,3,3
Tom Beasley,26,76,32,8,1
Steve Jordan,31,90,25,4,4
Ron Tilton,26,67,23,0,2
Sheldon Andrus,27,74,23,0,4
Rich Milot,26,83,29,7,5
Monte Coleman,26,81,28,7,2
Mark May,26,88,26,5,4
Ken Coffey,26,81,25,2,3
Alvin Walton,26,76,22,0,4
Terry Orr,26,73,25,0,4
Todd Frain,26,65,24,0,4
Ricky Sanders,26,78,26,0,3
James Noble,26,67,23,0,4
Eric Yarber,26,66,23,0,4
Clarence Verdin,26,72,23,0,4
Mark Moseley,26,85,38,16,1
Steve Hamilton,26,75,25,1,3
Bruce Clark,27,83,28,4,4
Calvin Daniels,26,83,27,4,3
Mel Kaufman,26,82,28,5,1
David Fonoti,26,68,23,0,3
Milford Hodge,27,75,25,0,3
Don McQuaid,26,66,25,1,1
Jeff Paine,26,74,25,2,2
Joe Krakoski,26,65,23,0,4
Steve Cox,26,90,28,5,1
Jay Schroeder,26,83,25,1,2
Doug Williams,26,83,31,7,1
Mark Rypien,26,74,23,0,3
Dan Kirtman,27,66,23,1,2
Brett Maxie,27,83,24,1,3
Frank Wattelet,27,79,27,5,1
John Williams,27,69,25,1,3
Mel Gray,27,66,25,0,4
Dave Wilson,27,81,27,4,1
Jumpy Geathers,27,77,26,2,2
Jon Dumbauld,27,73,23,0,4
Ralph Williams,27,75,28,3,1
Edwin Bailey,28,86,27,5,5
Pat Swilling,27,85,21,0,4
James Haynes,27,76,26,2,2
Jamie Williams,30,80,26,3,1
Stan Brock,27,87,28,6,1
Antonio Gibson,27,78,24,0,4
Reggie Sutton,27,67,21,0,4
John Tice,27,81,26,3,1
Eugene Goodlow,27,77,27,3,1
Kelvin Edwards,27,68,22,0,3
Herbert Harris,27,65,25,0,3
Morten Andersen,27,99,27,4,1
Frank Warren,27,79,27,5,1
Jack Del Rio,27,75,23,1,3
Joe Kohlbrand,27,74,23,1,3
Dave Lafary,27,73,31,9,1
Daren Gilbert,27,73,22,1,3
Glen Redd,27,74,28,4,2
Alvin Toles,27,72,23,1,3
Brian Hansen,27,90,25,2,2
Bobby Hebert,27,80,28,2,1
Babe Laufenberg,27,70,26,0,3
Randall Morris,28,72,25,2,1
Mike Tice,28,81,27,5,2
Ron Mattes,28,80,23,0,4
Reggie Kinlaw,28,76,29,7,3
John Rovito,28,66,23,0,4
Rick Parros,28,69,28,5,1
Eugene Robinson,28,87,23,1,4
Paul Moyer,28,76,25,3,2
Eric Lane,28,69,27,5,2
Bobby Joe Edmunds,28,69,22,0,4
