Team,Position,Name,OverallRating,JerseyNum,Archetype,_Description,SpeedRating,AccelerationRating,StrengthRating,AgilityRating,AwarenessRating,CatchingRating,CarryingRating,ThrowPowerRating,KickPowerRating,KickAccuracyRating,RunBlockRating,PassBlockRating,TackleRating,BreakTackleRating,JumpingRating,KickReturnRating,InjuryRating,StaminaRating,ToughnessRating,TruckingRating,ChangeOfDirectionRating,BCVisionRating,StiffArmRating,SpinMoveRating,JukeMoveRating,ImpactBlockingRating,RunBlockPowerRating,RunBlockFinesseRating,PassBlockPowerRating,PassBlockFinesseRating,LeadBlockRating,BreakSackRating,ThrowUnderPressureRating,PowerMovesRating,FinesseMovesRating,BlockSheddingRating,PursuitRating,PlayRecognitionRating,ManCoverageRating,ZoneCoverageRating,RunningStyleRating,SpectacularCatchRating,CatchInTrafficRating,ShortRouteRunningRating,MediumRouteRunningRating,DeepRouteRunningRating,HitPowerRating,PressRating,ReleaseRating,ThrowAccuracyShortRating,ThrowAccuracyMidRating,ThrowAccuracyDeepRating,PlayActionRating,ThrowOnTheRunRating,Height,Weight,Age,PLYR_BIRTHDATE,YearsPro,College,_TotalSalary,_SigningBonus,PLYR_HANDEDNESS,PLYR_PORTRAIT,PLYR_ASSETNAME
Bengals,WILL,Demetrius Knight Jr,73,44,OLB_RunStopper,,86,87,72,80,75,65,63,35,22,20,45,45,82,37,77,10,90,89,90,43,75,51,45,51,55,76,45,45,45,45,24,38,25,62,65,72,83,74,59,65,Default Stride High and Tight,59,57,34,31,26,86,47,32,31,28,25,22,36,74,240,26,36728,1,South Carolina ,5790000,3170000,Right,10627,KnightJrDemetrius_15245
Bengals,WILL,Oren Burks,69,42,OLB_RunStopper,,87,85,72,83,73,70,63,16,18,13,45,45,78,21,89,10,90,85,92,42,73,41,33,38,49,71,45,45,45,45,18,12,10,51,60,66,81,71,58,65,Default,49,52,15,5,5,83,53,12,6,6,6,6,6,75,233,31,34779,8,Vanderbilt ,3030000,1960000,Right,8829,BurksOren_13196
Bengals,WILL,Liam Anderson,62,45,OLB_RunStopper,,87,88,70,80,56,65,62,22,14,13,45,45,76,50,81,10,87,84,86,44,76,64,43,47,58,70,45,45,45,45,25,15,10,57,49,63,77,55,57,66,Default Stride Loose,56,53,17,14,8,79,58,21,6,6,6,6,6,75,226,26,36646,3,Holy Cross ,1000000,0,Right,10863,AndersonLiam_1446
Bengals,WR,Ja'Marr Chase,99,1,WR_DeepThreat,,96,95,73,92,99,98,71,33,24,17,53,37,39,88,98,60,92,96,88,71,96,98,76,83,90,46,31,27,26,20,27,29,22,10,10,37,36,17,13,17,Default,97,94,95,97,98,27,15,99,20,15,10,10,19,72,205,26,36586,5,LSU ,124460000,52840000,Right,1370,ChaseJaMarr_21586
Bengals,WR,Tee Higgins,87,5,WR_Physical,,90,87,71,85,94,97,76,28,17,13,45,34,33,78,97,65,85,89,84,62,81,83,77,74,79,44,30,31,20,18,31,27,22,10,10,34,40,16,19,27,Long Stride Default,95,89,84,82,80,26,16,90,37,31,27,15,25,76,219,27,36178,6,Clemson ,71200000,43320000,Right,351,HigginsTee_20962
Bengals,WR,Andrei Iosivas,73,80,WR_Playmaker,,92,91,67,89,76,82,73,30,24,21,34,22,28,76,90,50,88,87,86,50,87,81,54,71,75,35,18,11,19,15,17,27,22,10,11,28,31,15,10,10,Long Stride Loose,78,80,74,75,77,22,16,66,20,15,10,21,19,75,210,26,36448,3,Princeton ,6360000,130000,Right,2229,IosivasAndrei_22778
Bengals,WR,Mitchell Tinsley,71,82,WR_Slot,,86,89,60,91,75,81,73,35,18,18,53,27,31,68,85,64,92,84,87,53,87,80,54,71,75,50,39,45,20,17,28,28,19,10,10,33,41,26,18,26,Default Stride Loose,81,83,72,69,66,32,17,64,29,25,22,21,15,73,205,26,36418,3,Penn State ,1070000,0,Right,10976,TinsleyMitchell_22787
Bengals,WR,Charlie Jones,70,15,WR_Slot,,90,89,56,88,62,86,73,29,18,14,43,29,34,70,87,87,82,82,83,40,89,78,42,64,70,38,17,24,20,19,19,20,17,10,10,28,41,24,22,29,Default,78,83,74,74,72,24,25,60,15,10,6,6,10,72,190,27,36097,3,Purdue ,3710000,650000,Right,2246,JonesCharlie_22781
Bengals,WR,Colbie Young,70,86,WR_Playmaker,,89,90,67,85,70,79,72,32,29,25,53,26,22,77,88,47,88,84,86,56,83,80,67,69,77,46,29,32,24,25,32,26,24,17,17,23,25,21,21,23,Long Stride Default,81,81,72,74,72,21,25,74,24,19,15,22,23,77,218,24,37461,0,Georgia ,4370000,760000,Right,11101,YoungColbie_16338
Bengals,WR,Ke'Shawn Williams,66,12,WR_Playmaker,,89,90,53,84,61,80,71,29,20,20,41,29,31,72,87,79,87,85,85,40,86,76,40,70,73,38,21,22,20,22,21,19,19,10,10,26,33,36,13,18,Short Stride Default,76,75,74,72,68,28,17,73,15,10,10,17,10,69,188,24,37252,1,Indiana ,1460000,0,Right,11395,WilliamsKeShawn_4754
Bengals,WR,Kendric Pryor,63,19,WR_Playmaker,,92,91,52,84,49,76,69,30,17,15,45,25,27,64,90,63,90,82,81,37,84,74,40,74,81,40,29,33,13,15,24,32,21,12,14,20,35,25,22,29,Default Stride Loose,80,73,63,64,61,29,17,52,31,26,24,23,35,71,189,28,35801,4,Wisconsin ,1080000,0,Right,4902,PryorKendric_22646
Bills,C,Connor McGovern,81,66,C_PassProtector,,68,61,87,61,92,35,40,30,25,25,82,83,40,5,67,10,87,96,84,20,54,10,10,10,10,84,81,83,81,84,76,12,13,10,10,20,15,15,12,15,Default Stride Awkward,15,15,15,5,5,20,10,12,10,10,10,10,10,77,318,28,35737,7,Penn State ,25810000,21590000,Right,9565,McGovernConnor_20665
Bills,C,Lloyd Cushenberry III,75,53,C_Power,,70,65,85,56,89,30,30,22,22,21,77,77,22,9,61,10,88,88,92,20,49,10,10,10,10,83,78,76,77,78,81,12,15,15,12,23,25,28,13,14,Default Stride Awkward,12,10,10,5,5,22,10,12,6,6,6,6,6,76,315,28,35756,6,LSU ,1210000,180000,Right,226,CushenberryIIILloyd_20974
Bills,C,Sedrick Van Pran-Granger,66,62,C_Agile,,66,73,82,69,78,24,25,17,10,9,72,72,31,9,68,10,95,85,87,23,53,15,24,9,10,81,70,72,70,69,77,11,14,19,17,25,27,20,10,10,Default Stride Awkward,15,10,12,5,5,26,10,10,9,8,6,8,7,76,310,24,37187,2,Georgia ,4010000,330000,Right,10452,VanPranGrangerSedrick_14710
Bills,CB,Christian Benford,83,47,CB_Zone,,89,92,65,82,87,75,61,30,18,12,35,35,73,52,87,45,90,90,84,37,81,57,40,63,70,52,35,35,35,35,17,15,10,35,41,51,76,88,80,84,Default,66,60,32,27,24,57,86,38,6,6,6,6,6,73,205,25,36790,4,Villanova ,45860000,24130000,Right,2684,BenfordChristian_22487
Bills,CB,Maxwell Hairston,78,31,CB_MantoMan,,96,93,59,92,70,74,63,20,20,19,35,25,61,50,93,47,86,83,86,27,93,77,34,69,79,46,25,35,25,35,22,22,23,26,31,46,73,67,78,78,Default,68,61,37,35,38,51,73,43,15,15,21,13,22,71,192,23,37839,1,Kentucky ,6070000,9160000,Right,10570,HairstonMaxwell_15328
Bills,CB,Dee Alford,76,23,CB_Zone,,91,90,49,85,78,71,60,22,14,15,18,13,66,67,85,75,88,85,78,33,84,78,32,67,74,37,33,34,33,34,15,12,12,30,33,43,70,77,76,78,Default Stride Loose,72,62,30,25,21,51,67,33,6,6,6,6,6,71,175,28,35739,5,Tusculum College ,9930000,5800000,Right,6051,AlfordDee_22628
Bills,CB,Davison Igbinosun,74,21,CB_MantoMan,,91,91,56,85,74,68,62,27,17,15,35,35,65,52,82,53,87,88,85,36,84,65,33,65,70,43,35,35,35,35,15,14,10,34,45,50,74,73,74,71,Default Stride Loose,60,65,45,41,37,61,73,41,6,6,6,6,6,74,189,22,38088,0,Ohio State ,5680000,2240000,Right,11107,IgbinosunDavison_16184
Bills,CB,Toriano Pride Jr.,67,32,CB_MantoMan,,93,92,55,82,60,63,57,25,15,14,35,35,58,54,89,59,86,87,84,43,84,69,47,67,69,49,35,35,35,35,16,12,10,36,37,44,69,60,67,68,Default Stride Loose,62,63,29,30,25,59,67,32,6,6,6,6,6,70,185,22,37973,0,Missouri ,4370000,160000,Right,11110,PrideJrToriano_1872
Bills,DT,Ed Oliver,82,91,DT_PowerRusher,,82,84,89,83,85,31,32,25,15,12,45,45,85,20,86,10,90,85,89,31,69,31,30,29,39,90,45,45,45,45,30,12,14,82,75,80,81,84,19,32,Long Stride Default,20,24,15,8,4,81,16,20,6,6,6,6,6,73,287,28,35776,7,Houston ,21140000,46230000,Right,9589,OliverEd_20548
Bills,DT,Landon Jackson,74,94,DT_NoseTackle,,83,85,81,79,72,35,41,17,21,16,45,45,81,26,90,25,82,81,84,29,64,29,29,28,31,80,45,45,45,45,28,18,27,72,71,78,80,73,26,35,Long Stride Loose,21,21,15,8,7,80,27,12,16,14,9,25,25,78,264,23,37623,1,Arkansas ,4910000,1530000,Right,10608,JacksonLandon_15174
Bills,DT,T.J. Sanders,73,98,DT_NoseTackle,,74,83,88,61,73,20,39,28,15,14,45,45,78,25,77,22,90,76,89,27,58,20,32,17,19,86,45,45,45,45,24,13,12,75,68,80,77,70,14,18,Long Stride Awkward,17,16,15,13,10,78,15,15,6,6,6,6,6,76,297,23,37832,1,South Carolina ,6250000,4440000,Right,10719,SandersTJ_15241
Bills,DT,Deone Walker,72,96,DT_NoseTackle,,61,73,82,70,76,30,42,22,18,18,45,45,84,24,64,24,85,88,86,26,62,32,29,23,31,77,45,45,45,45,23,20,17,77,74,78,76,75,17,22,Long Stride Loose,18,18,16,14,12,81,14,16,12,11,10,14,18,79,331,22,38057,1,Kentucky ,4190000,1040000,Right,11002,WalkerDeone_15242
Bills,DT,DeWayne Carter,70,90,DT_NoseTackle,,73,78,82,57,73,22,40,12,23,17,45,23,79,43,78,8,88,84,88,25,56,40,24,23,44,84,45,45,25,18,11,23,16,73,70,78,78,71,17,19,Long Stride Awkward,15,15,4,4,4,79,10,12,13,16,17,15,11,74,305,25,36870,2,Duke ,4610000,980000,Right,10030,CarterDeWayne_14867
Bills,DT,Zane Durant,69,92,DT_NoseTackle,,79,84,87,62,65,47,42,24,17,24,45,45,78,15,81,10,87,77,89,44,48,30,48,30,30,82,45,45,45,45,28,12,10,72,65,74,77,64,23,25,Default Stride Awkward,30,30,10,8,3,79,21,26,6,6,6,6,6,73,290,22,38113,0,Penn State ,4370000,360000,Right,11105,DurantZane_16219
Bills,DT,Phidarian Mathis,69,72,DT_NoseTackle,,62,68,89,56,68,24,25,22,15,12,45,45,83,20,61,10,88,76,84,34,50,25,39,19,20,87,45,45,45,45,31,15,11,71,60,74,76,66,15,20,Long Stride Loose,20,15,15,12,9,75,10,8,6,6,6,6,6,76,312,28,35911,4,Alabama ,1140000,50000,Right,1826,MathisPhidarian_22167
Bills,DT,Tommy Akingbesote,65,71,DT_PowerRusher,,69,74,82,62,70,21,37,27,23,21,45,45,73,20,73,27,90,77,85,32,55,28,35,21,18,82,45,45,45,45,26,11,12,74,63,73,72,69,13,17,Long Stride Awkward,18,18,17,15,12,75,17,15,12,10,8,13,10,76,316,23,37677,1,Maryland ,1930000,0,Right,10473,AkingbesoteTommy_15233
Bills,DT,Zion Logue,65,93,DT_NoseTackle,,68,68,83,56,60,34,45,25,19,15,45,45,80,10,72,10,89,81,85,25,50,10,10,10,10,84,45,45,45,45,18,12,15,69,64,74,75,63,15,25,Long Stride Awkward,15,15,15,8,4,77,22,17,6,6,6,6,6,78,325,25,37085,2,Georgia ,2260000,0,Right,10162,LogueZion_14889
Bills,DT,Travis Clayton,57,67,DT_NoseTackle,,79,82,80,72,55,39,41,29,53,46,70,69,69,14,66,10,87,74,81,41,58,25,47,30,33,75,68,72,64,74,84,21,7,61,53,65,71,54,19,19,Long Stride Awkward,37,35,31,26,24,74,17,28,24,22,16,12,11,79,301,25,36939,2,No College ,1930000,0,Right,10373,ClaytonTravis_1130
Bills,FB,Ben VanSumeren,67,45,FB_Utility,,87,89,75,80,69,67,74,30,23,21,55,54,72,55,93,45,87,79,77,62,71,69,60,61,66,65,51,53,52,55,64,22,12,39,49,54,79,51,57,54,Default Stride Loose,65,65,53,46,37,73,45,39,20,15,10,12,14,74,250,26,36651,3,Michigan St. ,1070000,0,Right,10470,VanSumerenBen_23007
Bills,FS,Cole Bishop,80,24,S_Zone,,91,93,64,84,79,66,65,36,27,28,21,15,70,64,92,60,91,88,87,49,81,64,53,66,67,65,19,18,13,14,33,31,24,57,53,62,79,77,74,81,Default Stride Loose,68,58,15,15,12,74,71,14,35,32,24,19,32,74,207,23,37553,2,Utah ,4800000,1730000,Right,10015,BishopCole_14958
Bills,FS,Geno Stone,79,25,S_RunSupport,,86,88,58,86,85,82,65,42,17,22,16,12,72,49,82,55,88,91,89,48,83,65,55,62,67,55,35,35,35,35,14,26,26,33,38,56,76,86,71,77,Default Stride Loose,63,48,30,15,11,86,60,34,29,25,21,20,33,70,209,27,36269,6,Iowa ,1210000,180000,Right,590,StoneGeno_21018
Bills,FS,Sam Franklin Jr,68,28,S_Zone,,85,87,66,84,73,68,57,27,18,17,35,35,63,49,85,45,89,87,79,39,78,68,50,62,73,62,33,34,33,34,19,14,19,50,58,59,73,72,65,70,Default Stride Loose,62,64,41,38,29,78,59,40,6,6,6,6,6,75,210,30,35097,6,Temple ,1860000,5130000,Right,1431,FranklinJrSam_21401
Bills,HB,James Cook III,94,4,HB_ElusiveBack,,93,94,67,94,90,70,90,27,19,14,42,51,40,87,81,74,89,89,84,64,92,91,71,89,95,38,24,29,21,26,43,20,17,10,10,35,47,31,24,34,Default,54,52,68,65,57,37,17,62,20,14,10,10,10,71,190,26,36428,4,Georgia ,33510000,17630000,Right,1304,CookJames_22054
Bills,HB,Ray Davis,75,7,HB_ElusiveBack,,88,88,78,86,74,71,93,40,58,55,36,52,33,83,84,88,87,88,85,81,85,82,75,76,82,35,33,28,33,27,30,34,27,10,10,30,36,19,12,12,Default,56,52,66,61,54,30,15,55,32,26,20,25,31,69,211,26,36475,2,Kentucky ,4010000,690000,Right,10051,DavisRay_14626
Bills,HB,Ty Johnson,75,26,HB_ElusiveBack,,90,89,64,85,80,67,91,23,13,16,31,51,31,77,82,81,90,85,79,65,84,79,71,75,82,31,17,23,25,28,29,20,11,10,10,24,34,15,12,15,Default,52,54,65,56,51,28,15,47,20,15,10,13,15,70,210,28,35690,7,Maryland ,3390000,1600000,Right,136,JohnsonTy_20734
Bills,HB,Frank Gore Jr,61,20,HB_ElusiveBack,,84,87,66,81,73,64,81,46,29,31,26,35,28,70,75,44,90,90,92,69,80,77,70,68,76,43,20,22,22,30,22,35,33,10,10,23,32,23,13,12,Default,53,54,50,46,39,30,20,49,43,39,32,29,48,68,201,24,37328,2,Southern Miss ,1930000,0,Right,10085,GoreJrFrank_14634
Bills,K,Tyler Bass,74,16,KP_Power,,85,80,40,62,59,35,33,27,97,77,12,17,29,5,65,10,86,87,60,10,54,10,10,10,10,12,12,12,17,17,12,15,14,10,10,13,31,10,12,12,Short Stride Awkward,12,10,10,10,10,12,10,12,35,30,25,20,20,70,183,29,35475,6,Ga. Southern ,4380000,4240000,Right,85,BassTyler_21170
Bills,LEDG,Greg Rousseau,88,15,DE_RunStopper,,86,89,83,81,92,51,48,22,20,19,44,44,89,29,83,9,90,89,83,32,68,49,44,35,42,83,44,45,46,44,29,12,17,87,82,87,89,90,35,44,Long Stride Loose,44,40,30,26,21,83,31,31,6,6,6,6,6,78,266,26,36621,5,Miami ,56520000,34040000,Right,928,RousseauGreg_21517
Bills,LEDG,Mike Danna,77,51,DE_RunStopper,,80,83,82,74,78,31,31,26,17,13,45,45,87,27,71,6,91,80,86,37,62,47,43,32,31,87,45,45,45,45,14,12,10,74,65,78,82,80,16,25,Long Stride Default,18,16,10,5,5,78,16,15,6,6,6,6,6,74,257,28,35765,6,Michigan ,1260000,0,Right,853,DannaMike_21231
Bills,LEDG,Michael Hoecht,75,55,DE_SmallerSpeedRusher,,83,85,83,79,75,33,52,10,8,6,45,49,79,36,81,35,89,75,88,57,66,47,51,44,51,84,45,45,45,45,23,12,14,69,77,76,81,73,46,50,Long Stride Loose,33,35,30,22,17,80,18,15,6,6,6,6,6,76,264,28,35708,6,Brown ,13780000,3870000,Right,896,HoechtMichael_21386
Bills,LG,Austin Corbett,76,63,G_Agile,,68,69,85,56,82,18,32,23,17,13,78,80,29,7,70,10,85,88,87,23,51,15,10,10,10,82,76,80,78,81,83,12,10,20,10,15,23,16,12,12,Long Stride Awkward,12,15,10,5,5,27,10,12,6,6,6,6,6,76,305,30,34947,8,Nevada ,1300000,180000,Right,8853,CorbettAustin_13177
Bills,LG,Alec Anderson,66,70,G_Power,,60,55,85,48,68,40,45,25,22,20,76,68,45,23,62,10,91,82,83,32,46,28,20,15,10,83,73,78,72,65,74,12,13,35,30,40,50,30,12,15,Long Stride Awkward,25,35,28,18,10,40,10,35,6,6,6,6,6,77,305,26,36436,3,UCLA ,1640000,850000,Right,10361,AndersonAlec_22436
Bills,LG,Nick Broeker,63,65,G_Power,,63,74,81,60,72,35,42,25,19,15,68,69,26,26,68,10,92,85,81,30,56,24,21,23,24,73,66,70,71,67,78,14,10,38,26,32,35,32,11,12,Default Stride Awkward,33,30,24,21,18,29,10,15,10,8,6,6,6,76,305,25,36806,3,Ole Miss ,1070000,0,Right,2896,BroekerNick_22860
Bills,LS,Reid Ferguson,71,69,LS_Accurate,,72,69,65,62,68,57,54,27,21,19,50,54,33,43,69,18,94,79,83,46,61,45,52,47,51,46,47,42,50,40,35,11,10,17,17,39,48,22,14,21,Long Stride Loose,51,54,51,47,42,27,17,48,18,16,13,17,19,74,235,32,34417,10,LSU ,5280000,1200000,Right,9183,FergusonReid_13039
Bills,LT,Dion Dawkins,88,73,OT_PassProtector,,75,71,92,78,97,41,28,23,24,22,84,88,31,8,66,10,95,92,86,33,52,17,27,11,22,91,87,82,90,86,90,12,14,10,10,27,24,13,12,15,Default Stride Awkward,12,10,25,14,10,40,10,19,6,6,6,6,6,77,320,32,34450,9,Temple ,37700000,35790000,Right,8529,DawkinsDion_12622
Bills,LT,Jude Bowry,69,74,OT_Power,,70,75,84,68,71,23,24,16,10,12,74,71,45,17,78,10,87,88,89,25,58,10,12,10,10,82,72,76,77,73,80,12,12,38,40,44,44,20,13,13,Long Stride Awkward,19,19,15,5,5,51,10,18,6,6,6,6,6,77,314,23,37852,0,Boston College ,4120000,1400000,Right,11103,BowryJude_16251
Bills,LT,Chase Lundt,65,77,OT_Agile,,69,74,82,62,72,37,44,20,11,12,71,70,25,13,67,10,85,86,87,24,56,25,27,25,26,85,69,72,69,71,77,11,13,20,18,25,29,18,11,13,Long Stride Awkward,27,27,24,21,17,26,10,20,6,6,6,6,6,79,304,26,36693,1,Connecticut ,4130000,200000,Right,10641,LundtChase_15142
Bills,LT,Tylan Grable,63,68,OT_Agile,,74,81,81,73,68,51,57,57,13,13,70,69,48,34,87,10,88,81,79,58,65,52,57,44,46,79,67,70,70,69,79,49,35,57,46,45,51,42,12,13,Long Stride Awkward,55,49,43,35,26,52,10,51,52,48,45,35,39,77,309,26,36437,2,UCF ,3490000,170000,Right,10087,GrableTylan_1119
Bills,MIKE,Terrel Bernard,82,8,MLB_FieldGeneral,,85,91,67,82,87,74,49,21,17,13,45,45,86,33,85,30,86,89,88,39,78,48,44,51,61,74,45,45,45,45,19,18,12,52,62,72,92,89,65,72,Default Stride Loose,51,45,15,5,5,81,40,15,22,17,15,11,15,73,224,27,36287,4,Baylor ,28610000,15550000,Right,1173,BernardTerrel_22192
Bills,MIKE,Joe Andreessen,69,44,MLB_RunStopper,,84,89,77,77,66,66,63,30,20,20,45,45,80,42,87,10,91,87,86,42,80,50,49,44,58,83,45,45,45,45,19,12,15,58,51,71,82,69,51,62,Default Stride Loose,25,15,15,5,5,86,55,15,6,6,6,6,6,73,240,26,36563,2,Buffalo ,2820000,0,Right,10864,AndreessenJoe_1317
Bills,MIKE,Jimmy Ciarlo,64,35,MLB_PassCoverage,,86,90,67,84,61,52,57,21,21,17,45,45,79,42,86,10,86,86,87,44,78,45,45,46,44,72,45,45,45,45,21,22,12,49,52,63,80,59,56,63,Default Stride High and Tight,46,45,22,20,18,78,47,15,6,6,6,6,6,74,225,25,36950,1,Army ,1930000,0,Right,0,CiarloJimmy_4750
Bills,MIKE,Demetrius Flannigan-Fowles,62,50,MLB_PassCoverage,,86,84,65,76,66,67,55,27,28,24,30,30,74,45,83,40,91,82,81,48,74,54,51,61,69,69,35,35,35,35,10,15,12,43,58,61,79,63,58,65,Default Stride Loose,66,57,37,27,22,77,60,24,6,6,6,6,6,74,223,29,35312,7,Arizona ,1080000,0,Right,1430,FlanniganFowlesDemetrius_21403
Bills,P,Mitch Wishnowsky,76,19,KP_Power,,83,85,56,70,58,33,50,34,94,86,7,9,52,29,79,10,84,88,83,24,54,20,10,10,10,24,10,10,10,10,10,17,14,10,10,23,46,28,10,27,Long Stride Default,18,14,15,15,15,63,10,15,30,30,25,20,20,74,220,34,33666,7,Utah ,1300000,170000,Right,9689,WishnowskyMitch_20481
Bills,P,Tommy Doman Jr,73,39,KP_Power,,75,82,51,62,60,31,56,34,91,78,21,13,33,25,66,10,88,86,75,10,52,25,25,21,47,18,17,16,16,15,15,26,20,10,10,25,30,25,12,16,Long Stride Awkward,27,15,10,10,10,23,10,17,15,24,20,24,34,76,213,24,37500,0,Florida ,4370000,120000,Right,11104,DomanTommy_16177
Bills,QB,Josh Allen,99,17,QB_Improviser,,87,90,81,84,96,40,63,98,22,14,17,14,32,86,92,13,99,98,98,76,81,97,83,78,81,26,10,10,15,10,17,94,94,9,9,23,33,15,12,18,Default Stride Bread Loaf,23,20,22,15,13,11,9,18,97,90,93,97,98,77,237,30,35206,8,Wyoming ,134890000,137050000,Right,8800,AllenJosh_13197
Bills,QB,Kyle Allen,60,11,QB_FieldGeneral,,81,76,53,73,62,24,56,84,18,15,16,17,28,33,71,11,89,71,84,27,75,52,42,70,49,22,10,10,14,18,12,60,73,9,9,21,28,21,12,18,Default Stride Loose,66,18,18,17,15,11,9,19,82,77,74,74,74,75,210,30,35132,8,Houston ,3600000,500000,Right,9699,AllenKyle_13691
Bills,QB,Shane Buechele,52,6,QB_FieldGeneral,,73,75,51,71,57,32,61,82,24,21,24,20,19,37,74,10,89,76,86,28,68,64,29,42,55,32,20,20,20,20,25,50,65,10,9,11,20,15,15,16,Default Stride Loose,24,21,18,16,10,18,10,19,77,73,69,66,71,72,210,28,35803,5,SMU ,1070000,70000,Right,2979,BuecheleShane_21710
Bills,REDG,Bradley Chubb,78,9,DE_RunStopper,,84,85,89,77,79,56,53,20,18,15,45,45,79,36,86,10,86,82,95,32,67,39,42,33,38,92,45,45,45,45,17,12,16,71,77,79,82,80,48,53,Long Stride Loose,55,36,15,8,4,87,28,13,6,6,6,6,6,76,268,30,35240,8,N.C. State ,15440000,22540000,Right,8845,ChubbBradley_13079
Bills,REDG,T.J. Parker,77,99,DE_RunStopper,,83,87,82,83,69,37,50,12,26,20,45,45,86,34,83,29,94,84,91,37,73,35,40,36,40,85,45,45,45,45,45,20,15,79,71,82,84,71,34,41,Long Stride Loose,40,38,17,15,10,87,36,18,13,18,10,12,11,76,263,21,38249,0,Clemson ,7100000,6000000,Right,11109,ParkerTJ_16266
Bills,REDG,Javon Solomon,69,56,DE_SmallerSpeedRusher,,82,84,77,75,70,47,33,22,12,10,45,45,79,24,88,10,90,80,81,39,64,46,37,41,47,80,45,45,45,45,29,12,15,70,72,73,76,69,36,40,Default Stride Loose,37,35,10,6,5,76,29,15,6,6,6,6,6,73,247,25,36908,2,Troy ,4010000,250000,Right,10253,SolomonJavon_14896
Bills,REDG,Andre Jones Jr,63,59,DE_PowerRusher,,80,90,67,78,62,49,44,19,24,22,40,35,75,44,76,25,91,72,87,45,71,48,52,43,47,69,40,40,35,35,42,22,14,66,57,71,82,61,36,53,Long Stride High and Tight,47,43,38,35,33,81,45,32,18,12,10,10,11,77,258,27,36093,3,UL Lafayette ,2260000,0,Right,2250,JonesAndre_22987
Bills,RG,O'Cyrus Torrence,75,64,G_Power,,61,68,91,50,75,25,34,21,14,13,79,76,35,5,61,10,92,92,91,15,51,10,10,10,10,86,82,76,79,73,67,11,12,21,10,39,22,10,7,8,Long Stride Awkward,14,12,10,7,5,45,7,12,7,6,5,6,6,77,330,26,36545,3,Florida ,6860000,1670000,Right,2433,TorrenceOCyrus_22852
Bills,RG,Ar'maj Reed-Adams,66,60,G_Power,,63,65,85,55,63,29,25,12,29,26,73,71,36,10,73,10,88,87,86,25,46,13,16,10,10,81,72,74,73,74,77,14,12,39,37,28,33,24,15,15,Long Stride Awkward,26,18,16,5,5,25,10,11,6,6,6,6,6,78,314,24,37199,0,Texas AM ,4370000,120000,Right,11111,ReedAdamsArmaj_1851
Bills,RT,Spencer Brown,85,79,OT_Power,,73,79,91,74,85,55,50,23,25,25,88,80,42,24,77,10,89,86,85,35,56,27,30,10,10,91,89,87,83,78,89,12,10,49,38,34,51,33,12,15,Long Stride Awkward,49,49,33,14,5,45,10,23,6,6,6,6,6,80,311,28,35854,5,Northern Iowa ,36860000,30170000,Right,728,BrownSpencer_21649
Bills,SS,C.J. Gardner-Johnson,75,22,S_Zone,,90,89,68,83,77,84,64,25,65,50,35,35,66,53,86,64,85,91,83,38,84,68,25,65,74,61,35,35,35,35,19,12,20,36,51,53,77,73,69,75,Default Stride Loose,66,61,28,21,15,76,77,26,15,10,10,15,15,71,208,28,35784,7,Florida ,1510000,880000,Right,9466,GardnerJohnsonChauncey_20621
Bills,SS,Damar Hamlin,73,3,S_Zone,,87,92,62,85,75,70,63,25,20,20,35,35,70,49,84,51,87,91,78,42,76,66,45,63,68,61,35,35,35,35,32,14,18,33,38,52,83,74,61,71,Default Stride Loose,65,62,37,33,31,72,62,38,6,6,6,6,6,72,200,28,35878,5,Pittsburgh ,1210000,50000,Right,1254,HamlinDamar_21663
Bills,SS,Jordan Hancock,70,37,S_Hybrid,,91,94,60,82,73,71,56,22,31,30,35,35,60,45,95,51,85,84,84,25,81,70,33,63,71,50,25,35,25,35,24,25,35,32,43,48,74,74,66,68,Default,64,60,30,30,31,73,56,35,21,7,15,32,18,72,195,23,37845,1,Ohio State ,4190000,320000,Right,10573,HancockJordan_15316
Bills,SS,Jalon Kilgore,67,29,S_Hybrid,,91,91,64,82,65,66,59,26,22,28,35,35,65,52,88,46,91,92,89,54,81,60,45,55,64,60,35,35,35,35,28,13,12,37,46,55,75,63,65,67,Default Stride High and Tight,61,60,49,46,39,73,71,46,6,6,6,6,6,73,210,21,38379,0,South Carolina ,4370000,440000,Right,11108,KilgoreJalon_16403
Bills,TE,Dalton Kincaid,81,86,TE_VerticalThreat,,86,90,71,67,84,92,76,25,21,19,60,58,37,67,90,39,87,84,83,67,79,75,63,61,73,62,57,60,54,58,56,17,10,10,10,35,33,17,16,20,Long Stride High and Tight,84,82,76,70,72,41,23,74,15,10,6,6,10,76,246,26,36451,3,Utah ,14820000,6760000,Right,2277,KincaidDalton_22823
Bills,TE,Dawson Knox,76,88,TE_VerticalThreat,,86,89,72,83,76,83,71,41,14,12,65,63,31,53,91,25,89,90,85,72,75,73,75,56,62,65,60,65,59,62,53,21,20,10,10,28,31,14,13,16,Long Stride Default,85,82,68,63,58,21,13,68,28,23,17,21,25,76,254,29,35383,7,Ole Miss ,11770000,15630000,Right,9546,KnoxDawson_20523
