name,pos,age,height,weight,jersey,source_save,years_pro_read,Speed,Agility,PassArmStrength,Stamina,KickPower,Durability,Strength,Jumping,Coverage,RunRoute,Tackle
Bill Ring,RB,,70,205,241,1981-1982SAVEGAME.DAT,1,85,80,15,64,16,80,49,75,10,21,14
Gregg Johnson,CB,,73,191,216,1981-1982SAVEGAME.DAT,1,89,88,9,68,16,63,31,82,53,13,64
Edwin Bailey,G,,75,271,8,1981-1982SAVEGAME.DAT,1,44,64,12,80,11,76,74,39,9,41,33
Bill Dugan,G,,76,275,16,1981-1982SAVEGAME.DAT,1,38,52,12,72,20,62,71,52,31,30,61
David Hughes,RB,,72,220,112,1981-1982SAVEGAME.DAT,1,83,81,24,78,14,82,47,72,15,66,15
Eric Lane,RB,,72,195,40,1981-1982SAVEGAME.DAT,1,84,79,16,72,16,79,53,64,11,41,6
Brian Flones,ILB,,73,228,144,1981-1982SAVEGAME.DAT,1,68,73,10,71,9,69,56,69,46,18,65
Greg Gaines,OLB,,75,220,192,1981-1982SAVEGAME.DAT,1,73,74,10,76,13,81,62,60,60,19,75
Kenny Easley,SS,,75,206,104,1981-1982SAVEGAME.DAT,1,83,78,9,84,19,76,56,77,85,12,84
Mike Tice,TE,,79,253,176,1981-1982SAVEGAME.DAT,1,71,75,10,70,14,64,63,69,8,60,14
Paul Johns,WR,,71,173,168,1981-1982SAVEGAME.DAT,1,89,88,17,60,14,62,30,78,6,62,7
Mark McGrath,WR,,71,178,200,1981-1982SAVEGAME.DAT,1,86,84,20,32,3,49,30,80,4,63,10
Frank Garcia,P,,72,205,48,1981-1982SAVEGAME.DAT,1,72,54,36,46,72,81,30,53,20,26,39
Wilson Alvarez,K,,72,165,16,1981-1982SAVEGAME.DAT,1,74,76,11,34,85,62,12,30,11,12,20
Rodell Thomas,OLB,,74,225,216,1981-1982SAVEGAME.DAT,1,65,68,10,67,6,73,49,64,55,21,66
John Holt,CB,,71,180,169,1981-1982SAVEGAME.DAT,1,90,88,11,88,25,68,45,84,75,7,72
Brad White,DE,,74,255,209,1981-1982SAVEGAME.DAT,1,63,71,11,80,26,84,50,67,10,17,48
James Wilder,FB,,74,220,0,1981-1982SAVEGAME.DAT,1,88,87,16,76,23,92,52,87,12,76,15
Bill Capece,K,,67,170,25,1981-1982SAVEGAME.DAT,1,56,72,11,51,78,88,20,54,23,23,32
Joe Nobody,C,,73,255,241,1981-1982SAVEGAME.DAT,1,43,40,12,72,25,95,61,58,14,30,27
Bill Kay,CB,,73,190,176,1981-1982SAVEGAME.DAT,1,84,85,12,72,20,78,30,83,68,9,57
Daryle Skaugstad,DE,,77,254,208,1981-1982SAVEGAME.DAT,1,68,76,11,40,26,65,52,64,33,17,64
Joe Nobody,C,,77,255,240,1981-1982SAVEGAME.DAT,1,69,40,12,72,25,95,61,58,14,30,27
Willie Tullis,CB,,72,193,160,1981-1982SAVEGAME.DAT,1,88,88,11,66,20,76,41,75,64,8,42
Avon Riley,OLB,,75,230,168,1981-1982SAVEGAME.DAT,1,73,75,10,79,13,79,58,69,43,23,67
Nick Eyre,T,,77,276,112,1981-1982SAVEGAME.DAT,1,56,67,14,68,14,64,65,64,19,30,24
Mike Holston,WR,,75,190,160,1981-1982SAVEGAME.DAT,1,87,87,20,50,16,79,24,90,14,72,10
Harold Bailey,WR,,74,195,88,1981-1982SAVEGAME.DAT,1,86,88,20,40,17,76,37,87,6,67,15
Rich Thomaselli,RB,,73,199,224,1981-1982SAVEGAME.DAT,1,76,74,23,37,7,60,22,85,20,50,10
Joe Nobody,C,,73,255,240,1981-1982SAVEGAME.DAT,1,81,40,12,72,25,95,61,58,14,30,27
LeCharls McDaniel,CB,,69,183,112,1981-1982SAVEGAME.DAT,1,85,84,9,53,17,74,41,71,57,10,61
Trent Bryant,CB,,70,180,224,1981-1982SAVEGAME.DAT,1,86,85,12,55,17,66,33,80,58,8,38
Mike Clark,DT,,75,253,89,1981-1982SAVEGAME.DAT,1,72,73,10,46,19,72,50,65,30,14,55
Darryl Grant,DE,,73,270,104,1981-1982SAVEGAME.DAT,1,72,71,10,66,22,82,74,63,52,24,75
Pat Ogrin,DE,,77,265,120,1981-1982SAVEGAME.DAT,1,67,72,11,61,16,45,67,63,38,25,58
Russ Grimm,G,,75,273,33,1981-1982SAVEGAME.DAT,1,38,61,12,75,17,82,81,52,19,25,40
Melvin Jones,G,,74,260,232,1981-1982SAVEGAME.DAT,1,44,54,10,62,17,72,59,52,15,35,37
Mark May,T,,78,295,72,1981-1982SAVEGAME.DAT,1,51,50,11,82,19,86,67,52,15,34,37
Mel Kaufman,OLB,,74,221,184,1981-1982SAVEGAME.DAT,1,77,76,10,83,10,85,53,66,63,19,81
Quentin Lowry,ILB,,73,235,192,1981-1982SAVEGAME.DAT,1,72,70,10,58,9,52,61,61,48,13,62
Tom Flick,QB,,74,190,96,1981-1982SAVEGAME.DAT,1,43,47,71,56,9,61,20,46,30,24,20
Joe Jacoby,T,,79,305,16,1981-1982SAVEGAME.DAT,1,40,60,12,75,17,82,81,52,19,24,27
Virgil Seay,WR,,68,175,128,1981-1982SAVEGAME.DAT,1,86,85,20,35,9,67,27,90,6,74,20
Mat Mendenhall,DT,,78,254,96,1981-1982SAVEGAME.DAT,1,64,64,10,58,23,77,74,58,39,18,77
Dexter Manley,DT,,75,259,64,1981-1982SAVEGAME.DAT,1,78,77,10,80,19,85,80,75,46,14,83
Otis Wonsley,RB,,70,214,57,1981-1982SAVEGAME.DAT,1,84,72,23,57,13,67,43,68,12,50,6
Rick Trocano,QB,,73,210,96,1981-1982SAVEGAME.DAT,1,65,58,53,49,17,54,34,62,53,8,45
Mike Robinson,DT,,76,270,224,1981-1982SAVEGAME.DAT,1,71,68,10,75,19,80,60,66,42,14,76
Eddie Johnson,ILB,,73,220,152,1981-1982SAVEGAME.DAT,1,77,76,10,78,11,85,65,67,72,21,80
Steve Cox,P,,76,195,120,1981-1982SAVEGAME.DAT,1,64,66,34,58,93,94,48,65,14,15,32
Hanford Dixon,CB,,71,186,232,1981-1982SAVEGAME.DAT,1,87,86,9,53,17,82,44,80,90,14,67
Melvin Morgan,FS,,70,183,112,1981-1982SAVEGAME.DAT,1,87,96,12,70,18,68,42,89,54,8,31
Jerry Aldridge,RB,,70,215,120,1981-1982SAVEGAME.DAT,1,90,84,23,32,7,63,35,86,20,50,10
Wentford Gaines,CB,,74,185,32,1981-1982SAVEGAME.DAT,1,84,80,9,97,21,86,61,79,58,12,74
Mike Steinfort,FS,,76,190,88,1981-1982SAVEGAME.DAT,1,48,92,9,49,19,98,45,87,77,12,63
Mike Levenseller,WR,,69,181,192,1981-1982SAVEGAME.DAT,1,89,92,18,44,10,81,37,89,10,65,11
Jeff Knapple,QB,,73,200,128,1981-1982SAVEGAME.DAT,1,84,84,59,37,11,83,20,69,33,28,33
Keith Wright,WR,,72,174,200,1981-1982SAVEGAME.DAT,1,83,88,20,21,17,84,40,84,6,69,15
Jeff Lee,WR,,75,195,112,1981-1982SAVEGAME.DAT,1,69,88,18,44,10,81,40,88,10,65,11
Tom Banks,C,,75,243,176,1981-1982SAVEGAME.DAT,1,64,61,12,83,22,94,79,58,13,29,26
Carl McGee,OLB,,70,228,208,1981-1982SAVEGAME.DAT,1,40,76,10,72,6,55,53,68,70,16,64
Jerry Reese,CB,,74,192,248,1981-1982SAVEGAME.DAT,1,61,94,9,45,19,89,44,91,70,12,65
Mike Bragg,P,,77,186,32,1981-1982SAVEGAME.DAT,1,49,58,34,50,58,74,23,53,20,39,34
Larry Cole,DE,,75,252,248,1981-1982SAVEGAME.DAT,1,77,73,11,58,18,81,65,72,29,27,59
Eric Hurt,SS,,74,171,64,1981-1982SAVEGAME.DAT,1,60,96,9,45,19,89,37,86,70,12,65
Luther Blue,WR,,69,185,128,1981-1982SAVEGAME.DAT,1,75,75,13,34,9,60,22,67,38,43,29
Jim Culbreath,RB,,72,210,0,1981-1982SAVEGAME.DAT,1,89,72,23,82,13,94,57,92,12,50,6
Jerome King,CB,,69,285,0,1981-1982SAVEGAME.DAT,1,69,82,11,94,24,66,41,88,73,7,64
Kervin Wyatt,ILB,,73,235,24,1981-1982SAVEGAME.DAT,1,41,77,10,81,16,89,62,75,63,28,70
Gary Woolford,SS,,76,182,160,1981-1982SAVEGAME.DAT,1,54,94,8,64,21,80,44,89,70,10,56
Nate Johnson,WR,,71,192,160,1981-1982SAVEGAME.DAT,1,58,80,18,23,5,73,50,78,7,65,10
Chris Linnin,DT,,70,255,80,1981-1982SAVEGAME.DAT,1,89,74,10,67,22,73,52,76,25,20,68
Ray Williams,RB,,73,210,240,1981-1982SAVEGAME.DAT,1,58,84,23,32,7,63,61,64,20,50,10
John Arnold,WR,,75,175,120,1981-1982SAVEGAME.DAT,1,84,88,18,23,5,73,40,84,7,65,10
Bill Troup,QB,,74,218,80,1981-1982SAVEGAME.DAT,1,63,84,58,12,16,59,20,72,31,28,41
Doug McDougald,DT,,70,271,48,1981-1982SAVEGAME.DAT,1,88,71,10,46,14,88,56,74,35,8,74
Dwight Harrison,SS,,78,183,224,1981-1982SAVEGAME.DAT,1,75,96,9,49,19,98,59,89,77,12,63
Greg Horton,G,,73,245,249,1981-1982SAVEGAME.DAT,1,84,59,14,85,18,96,65,61,27,30,31
James Marshall,CB,,73,187,184,1981-1982SAVEGAME.DAT,1,80,96,12,34,15,86,37,89,75,5,63
Robert Woods,T,,76,259,8,1981-1982SAVEGAME.DAT,1,68,63,11,87,16,86,77,73,13,28,24
Larry Coombs,G,,71,260,200,1981-1982SAVEGAME.DAT,1,87,63,11,87,16,86,77,73,13,28,24
Dave Washington,ILB,,74,224,184,1981-1982SAVEGAME.DAT,1,58,91,11,63,1,90,43,90,46,16,59
