franchise,teamID,name,pos,pgm3_pos,age,povr,rating_note,college,team78,reason,why_here
(free agent pool),Free Agent,Bob Lingenfelter,OT,OT,24,71,,Nebraska,minnesota-vikings,,
(free agent pool),Free Agent,Lyman Smith,DT,DT,22,71,,Duke,minnesota-vikings,,
(free agent pool),Free Agent,Mike Connell,P,P,22,71,,Cincinnati,san-francisco-49ers,,
(free agent pool),Free Agent,Bruce Elia,LB,MLB,25,71,,Ohio State,san-francisco-49ers,,
(free agent pool),Free Agent,Rufus Crawford,RB,RB,23,71,,Virginia State,seattle-seahawks,,
(free agent pool),Free Agent,Doug Long,DB,S,23,71,,Whitworth,seattle-seahawks,,
(free agent pool),Free Agent,Tom Mullen,OG,OT,26,71,,Southwest Missouri State,st-louis-cardinals,,
(free agent pool),Free Agent,Maurice Harvey,DB,S,22,70,,Ball State,denver-broncos,,
(free agent pool),Free Agent,Ted Burgmeier,DB,S,22,70,,Notre Dame,kansas-city-chiefs,,
(free agent pool),Free Agent,Clyde Powers,DB,S,27,70,,Oklahoma,kansas-city-chiefs,,
(free agent pool),Free Agent,Mike Mock,LB,OLB,23,70,,Texas Tech,new-york-jets,,
(free agent pool),Free Agent,Bruce Stephens,WR,WR,22,70,,Columbia,new-york-jets,,
(free agent pool),Free Agent,Rick Engles,P,P,24,70,,Tulsa,philadelphia-eagles,,
(free agent pool),Free Agent,Charles Williams,DB,CB,25,70,,Jackson State,philadelphia-eagles,,
(free agent pool),Free Agent,Randy Reutershan,WR,WR,23,70,,Pittsburgh,pittsburgh-steelers,,
(free agent pool),Free Agent,Rickey Anderson,RB,RB,25,70,,South Carolina State,san-diego-chargers,,
(free agent pool),Free Agent,Bob Jury,DB,CB,23,70,,Pittsburgh,san-francisco-49ers,,
(free agent pool),Free Agent,Elliott Walker,RB,RB,22,70,,Pittsburgh,san-francisco-49ers,,
(free agent pool),Free Agent,Jerry Anderson,DB,S,25,70,,Oklahoma,tampa-bay-buccaneers,,
(free agent pool),Free Agent,Garth Ten Napel,LB,OLB,24,69,,Texas A&M,atlanta-falcons,,
(free agent pool),Free Agent,James Wright,TE,TE,22,69,,Texas Christian,atlanta-falcons,,
(free agent pool),Free Agent,Tom Ehlers,LB,OLB,26,69,,Kentucky,buffalo-bills,,
(free agent pool),Free Agent,Randy McClanahan,LB,MLB,23,69,,Southwestern Louisiana,buffalo-bills,,
(free agent pool),Free Agent,Tom Sullivan,RB,RB,28,69,,Miami,cleveland-browns,,
(free agent pool),Free Agent,Greg Sampson,OT,OT,28,69,,Stanford,houston-oilers,,
(free agent pool),Free Agent,Bill Kellar,WR,WR,22,69,,Stanford,kansas-city-chiefs,,
(free agent pool),Free Agent,Ray Milo,DB,CB,24,69,,New Mexico State,kansas-city-chiefs,,
(free agent pool),Free Agent,Clarence Sanders,LB,OLB,25,69,,Cincinnati,kansas-city-chiefs,,
(free agent pool),Free Agent,Mark Meseroll,OT,OT,23,69,,Florida State,new-orleans-saints,,
(free agent pool),Free Agent,Oren Middlebrook,WR,WR,25,69,,Arkansas State,philadelphia-eagles,,
(free agent pool),Free Agent,Rick Middleton,LB,OLB,26,69,,Ohio State,san-diego-chargers,,
(free agent pool),Free Agent,Gordon Bell,RB,RB,24,69,,Michigan,st-louis-cardinals,,
(free agent pool),Free Agent,Gary Huff,QB,QB,27,69,,Florida State,tampa-bay-buccaneers,,
(free agent pool),Free Agent,Mike Esposito,RB,RB,25,68,,Boston College,atlanta-falcons,,
(free agent pool),Free Agent,Marv Montgomery,OT,OT,30,68,,Southern California,atlanta-falcons,,
(free agent pool),Free Agent,Mario Celotto,LB,OLB,22,68,,Southern California,buffalo-bills,,
(free agent pool),Free Agent,Mekeli Ieremia,DT,DT,24,68,,Brigham Young,buffalo-bills,,
(free agent pool),Free Agent,Lionel Antoine,OT,OT,28,68,,Southern Illinois,chicago-bears,,
(free agent pool),Free Agent,Greg Fairchild,OG,OT,24,68,,Tulsa,cleveland-browns,,
(free agent pool),Free Agent,Tom London,DB,CB,24,68,,North Carolina State,cleveland-browns,,
(free agent pool),Free Agent,Dan Dickel,LB,MLB,26,68,,Iowa,detroit-lions,,
(free agent pool),Free Agent,James McAlister,RB,RB,27,68,,UCLA,new-england-patriots,,
(free agent pool),Free Agent,Kevin Bell,WR,WR,23,68,,Lamar,new-york-jets,,
(free agent pool),Free Agent,Darnell Powell,RB,RB,24,68,,Tennessee-Chattanooga,new-york-jets,,
(free agent pool),Free Agent,Larry Riley,DB,CB,23,68,,Salem (NC),new-york-jets,,
(free agent pool),Free Agent,Herb Lusk,RB,RB,25,68,,Long Beach State,philadelphia-eagles,,
(free agent pool),Free Agent,Buddy Hardaway,OT,OT,23,68,,Oklahoma State,san-diego-chargers,,
(free agent pool),Free Agent,Lon Boyett,TE,TE,24,68,,Cal State-Northridge,san-francisco-49ers,,
(free agent pool),Free Agent,Bill Adams,OG,OT,28,67,,Holy Cross,buffalo-bills,,
(free agent pool),Free Agent,Doug Becker,LB,OLB,22,67,,Notre Dame,buffalo-bills,,
(free agent pool),Free Agent,Mike Franckowiak,RB,RB,25,67,,Central Michigan,buffalo-bills,,
(free agent pool),Free Agent,Dave Mays,QB,QB,29,67,,Texas Southern,buffalo-bills,,
(free agent pool),Free Agent,Mike Morgan,RB,RB,22,67,,Wisconsin,chicago-bears,,
(free agent pool),Free Agent,Anthony Davis,RB,RB,26,67,,Southern California,houston-oilers,,
(free agent pool),Free Agent,Bob Simpson,DE,DT,24,67,,Colorado,miami-dolphins,,
(free agent pool),Free Agent,Kevin Hunt,OT,OT,29,67,,Doane,new-orleans-saints,,
(free agent pool),Free Agent,Harold Hart,RB,RB,26,67,,Texas Southern,oakland-raiders,,
(free agent pool),Free Agent,Mike Baldassin,LB,OLB,23,67,,Washington,san-francisco-49ers,,
(free agent pool),Free Agent,Wonder Monds,DB,S,26,67,,Nebraska,san-francisco-49ers,,
(free agent pool),Free Agent,Stu O'Dell,LB,OLB,26,66,,Indiana,baltimore-colts,,
(free agent pool),Free Agent,Dennis Sproul,QB,QB,22,66,,Arizona State,green-bay-packers,,
(free agent pool),Free Agent,Alvin Maxson,RB,RB,26,66,,Southern Methodist,pittsburgh-steelers,,
(free agent pool),Free Agent,Ron Hunt,OT,OT,23,65,,Oregon,cincinnati-bengals,,
(free agent pool),Free Agent,Ernest Pough,WR,WR,26,65,,Texas Southern,new-york-giants,,
(free agent pool),Free Agent,Steve Knutson,OG,OT,27,65,,Southern California,san-francisco-49ers,,
(free agent pool),Free Agent,Tommy Southard,WR,WR,23,65,,Furman,st-louis-cardinals,,
(free agent pool),Free Agent,Dennis Law,WR,WR,23,64,,East Tennessee State,cincinnati-bengals,,
(free agent pool),Free Agent,Larry Collins,RB,RB,23,64,,Texas A&M-Kingsville,cleveland-browns,,
(free agent pool),Free Agent,Bob Moore,TE,TE,29,64,,Stanford,denver-broncos,,
(free agent pool),Free Agent,Dean Moore,LB,OLB,23,64,,Iowa,san-francisco-49ers,,
(free agent pool),Free Agent,Jack Steptoe,WR,WR,22,64,,Utah,san-francisco-49ers,,
(free agent pool),Free Agent,Calvin O'Neal,LB,MLB,24,63,,Michigan,baltimore-colts,,
(free agent pool),Free Agent,Rob Hertel,QB,QB,23,63,,Southern California,cincinnati-bengals,,
(free agent pool),Free Agent,Dan Gray,DT,DE,22,63,,Rutgers,detroit-lions,,
(free agent pool),Free Agent,James Thompson,WR,WR,25,63,,Memphis,new-york-giants,,
(free agent pool),Free Agent,Reggie Grant,DB,CB,23,63,,Oregon,new-york-jets,,
(free agent pool),Free Agent,Lindsey Mason,OT,OT,23,63,,Kansas,oakland-raiders,,
(free agent pool),Free Agent,Bruce Threadgill,DB,CB,22,63,,Mississippi State,san-francisco-49ers,,
(free agent pool),Free Agent,Jeff Winans,DE,DE,27,62,,Southern California,tampa-bay-buccaneers,,
(free agent pool),Free Agent,George Franklin,RB,RB,24,61,,Texas A&M-Kingsville,atlanta-falcons,,
(free agent pool),Free Agent,Joe Moreino,DT,DT,23,61,,Idaho State,new-york-jets,,
(free agent pool),Free Agent,Tom DePaso,LB,MLB,22,60,,Penn State,cincinnati-bengals,,
(free agent pool),Free Agent,Jim Harlan,OT,OT,24,60,,Howard Payne,washington-redskins,,
